,title,source,date,datetime,desc,link
0,Bitcoin jumps after credit scare; Fidelity enters crypto sphere,MarketWatch,"Oct 15, 2018",2018-10-15 04:00:00,Bitcoin rose sharply Monday after a credit scare on a major cryptocurrency exchange created a rush for the No. 1 digital currency. After beginning the day around ...,https://www.marketwatch.com/story/bitcoin-jumps-after-credit-scare-2018-10-15
1,Bitcoin jumps after credit scare; Fidelity enters crypto sphere,MarketWatch,"Oct 15, 2018",2018-10-15 12:00:00,Bitcoin rose sharply Monday after a credit scare on a major cryptocurrency exchange created a rush for the No. 1 digital currency. After beginning the day around ...,https://www.marketwatch.com/story/bitcoin-jumps-after-credit-scare-2018-10-15
2,Bitcoin Price Spikes But Bull Reversal Is Still $1K Away - CoinDesk,CoinDesk,"Oct 15, 2018",2018-10-15 04:00:00,"Bitcoin (BTC) spiked 11 percent Monday, likely due to a sell-off in tether (USDT), but a bullish reversal is still not confirmed, technical charts indicate. The leading ...",https://www.coindesk.com/bitcoin-price-spikes-but-bull-reversal-is-still-1k-away
3,Bitcoin Price Spikes But Bull Reversal Is Still $1K Away - CoinDesk,CoinDesk,"Oct 15, 2018",2018-10-15 12:00:00,"Bitcoin (BTC) spiked 11 percent Monday, likely due to a sell-off in tether (USDT), but a bullish reversal is still not confirmed, technical charts indicate. The leading ...",https://www.coindesk.com/bitcoin-price-spikes-but-bull-reversal-is-still-1k-away
4,Bitcoin Price Jumped As Tether's Fell. Why?,Investopedia,"Oct 16, 2018",2018-10-16 04:00:00,"Tether's losses are bitcoin's gains. In a dramatic reversal of sorts, bitcoin price and cryptocurrency markets, which had been in a swoon for most of this month, ...",https://www.investopedia.com/news/bitcoin-price-jumped-tethers-fell-why/
5,Bitcoin Price Jumped As Tether's Fell. Why?,Investopedia,"Oct 16, 2018",2018-10-16 12:00:00,"Tether's losses are bitcoin's gains. In a dramatic reversal of sorts, bitcoin price and cryptocurrency markets, which had been in a swoon for most of this month, ...",https://www.investopedia.com/news/bitcoin-price-jumped-tethers-fell-why/
6,Crypto Exchange Zaif Hacked In $60 Million Bitcoin Theft - CoinDesk,CoinDesk,"Sep 19, 2018",2018-09-19 04:00:00,"That being said, the exact amount of bitcoin cash stolen remains unknown. The exchange added that since its own asset reserve is currently around 2.2 billion ...",https://www.coindesk.com/crypto-exchange-zaif-hacked-in-60-million-6000-bitcoin-theft
7,Crypto Exchange Zaif Hacked In $60 Million Bitcoin Theft - CoinDesk,CoinDesk,"Sep 19, 2018",2018-09-19 12:00:00,"That being said, the exact amount of bitcoin cash stolen remains unknown. The exchange added that since its own asset reserve is currently around 2.2 billion ...",https://www.coindesk.com/crypto-exchange-zaif-hacked-in-60-million-6000-bitcoin-theft
8,Japanese bitcoin exchange is robbed of $60 million worth of cryptocurrency,The Verge,"Sep 20, 2018",2018-09-20 04:00:00,"Cryptocurrencies including bitcoin, monacoin, and bitcoin cash were stolen from the exchange's online wallet, where hackers were able to gain access to ...",https://www.theverge.com/2018/9/20/17882636/zaif-japanese-bitcoin-exchange-cryptocurrency-digital-wallet-60-million
9,Japanese bitcoin exchange is robbed of $60 million worth of cryptocurrency,The Verge,"Sep 20, 2018",2018-09-20 12:00:00,"Cryptocurrencies including bitcoin, monacoin, and bitcoin cash were stolen from the exchange's online wallet, where hackers were able to gain access to ...",https://www.theverge.com/2018/9/20/17882636/zaif-japanese-bitcoin-exchange-cryptocurrency-digital-wallet-60-million
10,Japanese Regulated Exchange Zaif Hacked – Nearly 6000 ...,Bitcoin News,"Sep 20, 2018",2018-09-20 04:00:00,After bitcoin and a myriad of other crypto-assets tumbled in value on Sunday a number of significant whale movements took place. During the morning trading ...,https://news.bitcoin.com/japanese-regulated-exchange-zaif-hacked-btc/
11,Japanese Regulated Exchange Zaif Hacked – Nearly 6000 ...,Bitcoin News,"Sep 20, 2018",2018-09-20 12:00:00,After bitcoin and a myriad of other crypto-assets tumbled in value on Sunday a number of significant whale movements took place. During the morning trading ...,https://news.bitcoin.com/japanese-regulated-exchange-zaif-hacked-btc/
12,"If The Internet Is Still A Wild West, How Can Bitcoin Not Be?",Forbes,"Sep 19, 2018",2018-09-19 04:00:00,"Bitcoin, cryptocurrencies, and crypto-fundraising schemes known as initial coin offerings (ICOs) are however a difficult thing to regulate unless you want them to ...",https://www.forbes.com/sites/billybambrough/2018/09/19/if-the-internet-is-still-a-wild-west-how-can-bitcoin-not-be/
13,"If The Internet Is Still A Wild West, How Can Bitcoin Not Be?",Forbes,"Sep 19, 2018",2018-09-19 12:00:00,"Bitcoin, cryptocurrencies, and crypto-fundraising schemes known as initial coin offerings (ICOs) are however a difficult thing to regulate unless you want them to ...",https://www.forbes.com/sites/billybambrough/2018/09/19/if-the-internet-is-still-a-wild-west-how-can-bitcoin-not-be/
14,A Bitcoin Miner Tests Investor Appetite: What to Watch Today,The New York Times,"Sep 27, 2018",2018-09-27 04:00:00,Back story: Bitmain is one of the world's biggest sellers of equipment used to mine cryptocurrencies like Bitcoin. (A brief explainer: New digital currency tokens ...,https://www.nytimes.com/2018/09/27/business/dealbook/bitmain-crytocurrencies-initial-public-offering.html
15,A Bitcoin Miner Tests Investor Appetite: What to Watch Today,The New York Times,"Sep 27, 2018",2018-09-27 12:00:00,Back story: Bitmain is one of the world's biggest sellers of equipment used to mine cryptocurrencies like Bitcoin. (A brief explainer: New digital currency tokens ...,https://www.nytimes.com/2018/09/27/business/dealbook/bitmain-crytocurrencies-initial-public-offering.html
16,China's Bitcoin Dominance Is Worrying Trump's White House -- And Pushing It Toward Ripple,Forbes,"Oct 16, 2018",2018-10-16 04:00:00,"China is, by some distance, the undisputed world leader in bitcoin mining — with Chinese mining pools controlling more than 70% of the bitcoin network's ...",https://www.forbes.com/sites/billybambrough/2018/10/16/chinas-bitcoin-dominance-is-worrying-trumps-white-house-and-pushing-it-toward-ripple/
17,China's Bitcoin Dominance Is Worrying Trump's White House -- And Pushing It Toward Ripple,Forbes,"Oct 16, 2018",2018-10-16 12:00:00,"China is, by some distance, the undisputed world leader in bitcoin mining — with Chinese mining pools controlling more than 70% of the bitcoin network's ...",https://www.forbes.com/sites/billybambrough/2018/10/16/chinas-bitcoin-dominance-is-worrying-trumps-white-house-and-pushing-it-toward-ripple/
18,Bitcoin Daily: Fidelity Unveils Crypto Services Firm; Sony Creates Blockchain-Based Rights System,PYMNTS.com,"Oct 16, 2018",2018-10-16 04:00:00,"Bitcoin, XRP and Ethereum rose on Monday (Oct. 15) as tether — a digital currency that is reportedly tied to value of the U.S. dollar — fell, CNBC reported.",https://www.pymnts.com/blockchain/bitcoin/2018/fidelity-crypto-services-firm-sony-blockchain-based-rights-system/
19,Bitcoin Daily: Fidelity Unveils Crypto Services Firm; Sony Creates Blockchain-Based Rights System,PYMNTS.com,"Oct 16, 2018",2018-10-16 12:00:00,"Bitcoin, XRP and Ethereum rose on Monday (Oct. 15) as tether — a digital currency that is reportedly tied to value of the U.S. dollar — fell, CNBC reported.",https://www.pymnts.com/blockchain/bitcoin/2018/fidelity-crypto-services-firm-sony-blockchain-based-rights-system/
20,"Bitcoin is the 'mother of all scams' and blockchain is most hyped tech ever, Roubini tells Congress",CNBC,"Oct 11, 2018",2018-10-11 04:00:00,One of the few economists who predicted the 2008 financial crisis warns U.S. senators of the pernicious side of cryptocurrencies. He also criticized bitcoin's ...,https://www.cnbc.com/2018/10/11/roubini-bitcoin-is-mother-of-all-scams.html
21,"Bitcoin is the 'mother of all scams' and blockchain is most hyped tech ever, Roubini tells Congress",CNBC,"Oct 11, 2018",2018-10-11 12:00:00,One of the few economists who predicted the 2008 financial crisis warns U.S. senators of the pernicious side of cryptocurrencies. He also criticized bitcoin's ...,https://www.cnbc.com/2018/10/11/roubini-bitcoin-is-mother-of-all-scams.html
22,"As Bitcoin Goes, So Do Other Cryptocurrencies | Cryptocurrency",US News Money,"Sep 24, 2018",2018-09-24 04:00:00,"When bitcoin rises, these altcoins, such as ethereum, ripple, bitcoin cash, litecoin and monero, move in tandem. Bitcoin has a positive correlation with the other ...",https://money.usnews.com/investing/cryptocurrency/articles/2018-09-24/as-bitcoin-goes-so-do-other-cryptocurrencies
23,"As Bitcoin Goes, So Do Other Cryptocurrencies | Cryptocurrency",US News Money,"Sep 24, 2018",2018-09-24 12:00:00,"When bitcoin rises, these altcoins, such as ethereum, ripple, bitcoin cash, litecoin and monero, move in tandem. Bitcoin has a positive correlation with the other ...",https://money.usnews.com/investing/cryptocurrency/articles/2018-09-24/as-bitcoin-goes-so-do-other-cryptocurrencies
