source,author,time,title,description,content,url
investopedia,NotProvided,2016-05-03 23:00:00,Oil and Gas Bankruptcies Rival 2003 Telecom Bust (FRAK),The squeeze in the once-thriving oil and gas industry has led to a wave of bankruptcies that is now rivaling previous record busts.,"David Floyd Updated May 4, 2016 The squeeze in the once-thriving oil and gas industry has led to a wave of bankruptciesthat is now rivaling previous record busts. According to Reuters, citing the law Firm Hayes & Boon, bankruptcydata.com and its own data, 59 oil and gas companies have now filed for bankruptcy. (See also: 5 Energy Companies Crushed by Low Oil in 2016 .) The previous wave of bankruptcies to afflict a particular industry, the 2002-2003 telecom bust, saw 68. Charles Gibbs, restructuring partner at Akin Gump, told Reuters that the oil and gas industry may not be even halfway through the rout. After spiking above $100 as recently as the summer of 2014, oil prices began a sustained decline, falling to around $27 this past February. Shale drillers, riding a wave of excitement at the successful deployment of a relatively new technology, hydraulic fracturing or ""fracking,"" took on massive debt loads when times were good, and perhaps ironically, they contributed to the supply glut that has driven prices down. In a reversal of the once-prevailing wisdom, lower oil prices began to drag on market sentiment, and equity indices fell in line with a barrel of crude. That correlation has called into question the previous assumption, that low prices would put money in consumers' pockets, helping companies' sales and driving stock prices up. Instead, low prices have led to worries that indebted companies would default, perhaps hurting the banks who lent to them. Bank stocks led the market decline in the early part of the year, but so far the more dire scenarios involving their oil-patch lending have not come to pass. The Financial Select Sector SPDR ETF (",https://www.investopedia.com/articles/markets/050416/oil-and-gas-bankruptcies-rival-2003-telecom-bust-frak.asp
itworldcanada,NotProvided,2016-04-02 15:55:53,IBM Maximo Asset Management solutions for the oil and gas industry,Download this solution brief as it examines how IBM Maximo Asset Management delivers the critical capabilities that oil and gas companies need. These capabilities range from enabling processes that record and store organizational knowledge to providing a consolidated and trusted platform for managing assets -- from the smallest tools and parts to the largest production and maintenance facilities.,"IBM Maximo Asset Management solutions for the oil and gas industry Download this solution brief as it examines how IBM Maximo Asset Management delivers the critical capabilities that oil and gas companies need. These capabilities range from enabling processes that record and store organizational knowledge to providing a consolidated and trusted platform for managing assets -- from the smallest tools and parts to the largest production and maintenance facilities. Register Now As technology reaches every corner of the globe, the world becomes smallerand smarter. With global organizations and systems that are more instrumented, interconnected, and intelligent than ever, the oil and gas industries now have the potential to achieve new levels of business value and optimize operations. IBM is using its technological expertise and decades of leadership to help organizations in the oil and gas industries. From exploration and production to refining and marketing, IBM offers IoT solutions for oil and gas operations. With deep industry and process expertise, IBM helps oil and gas companies to enhance operational sectors, which can improve efficiency and optimize global resources in ways that enable organizations to focus on operational efficiency and resource utilization.",https://www.itworldcanada.com/assets/ibm-maximo-asset-management-solutions-for-the-oil-and-gas-industry
octane,NotProvided,2016-07-28 11:10:40,"48,000 litre Diesel and Gas Oil Bunded Tank","Here's one of our recent completed jobs installing a split compartment 48,000 litre bunded tank with dual fuel dispenser and island.","Here's one of our recent completed jobs installing a split compartment 48,000 litre bunded tank with dual fuel dispenser and island.",https://www.octane.uk.com/diesel-gas-oil-bunded-tank-case-study/
syntec4,NotProvided,2016-07-18 08:20:46,Gas Oil in Crisis: The Shape of the Problem,"What quality of gas oil are you buying? If you think its all the same, think again. Some of you may already have heard that the specification for gas oil  or red diesel  has changed recently. What you might not be aware of is that there are now several different fuels on the","What quality of gas oil are you buying? If you think its all the same, think again. Some of you may already have heard that the specification for gas oil  or red diesel  has changed recently. What you might not be aware of is that there are now several different fuels on the",http://syntec4.com/gas-oil-in-crisis-1/
syntec4,NotProvided,2016-07-18 07:45:10,Gas Oil in Crisis: Advice for Buyers,"How can you tell if you have been sold poor quality product? Its not easy: while there can be differences in smell and appearance, testing product before it goes into the engine is something few operators have the facility to do. But the cheaper cuts of gas oil burn less efficiently. In effect, you use","How can you tell if you have been sold poor quality product? Its not easy: while there can be differences in smell and appearance, testing product before it goes into the engine is something few operators have the facility to do. But the cheaper cuts of gas oil burn less efficiently. In effect, you use",http://www.syntec4.com/gas-oil-in-crisis/
forbes,NotProvided,2016-06-24 18:19:00,How Digital Technology Will Change Oil And Gas Companies,"Unlike other industries that are enjoying a sudden embrace of benefits from data, the oil and gas sector is well acquainted with analytics. For decades, energy companies have relied on rich pools of data to discover and understand the potential in their reservoirs and other production opportunities.","We are a global business consulting firm. Share to facebook Share to linkedin By Riccardo Bertocco, Lodewijk de Graauw and Dmitry Naberezhnev Unlike other industries that are enjoying a sudden embrace of benefits from data, the oil and gas sector is well acquainted with analytics. For decades, energy companies have relied on rich pools of data to discover and understand the potential in their reservoirs and other production opportunities. Even so, most have yet to capture the full potential of their data because they havent always been able to generate actionable insights or make better and faster decisions based on data. That will change as oil and gas companies upgrade their digital capabilitiesand improve the way they connect these insights to their operating models. We expect to see dramatic cost savings and signicant improvements in productivity and revenue. One integrated oil company managed to save about 10% on unit costs by digitizing a remote offshore operations center. Another reduced operating costs per barrel by about 10% and recovered more reserves by applying selective applications in intelligent oilelds through collective computing and sharing real-time information at all company levels. Most of todays digital initiatives in oil and gas are incremental rather than disruptive. Companies are making improvements in technical or operational capabilities, like predictive maintenance or completed analysis on wells. One reason for this gradual approach is that most companies arent ready for a big transformation because they lack the people, processes and capital required to make it happen. In particular, we see three common pitfalls in some oil and gas companies that have begun to invest in digital.  No long-term digital strategy. Without an integrated, multiyear plan, companies risk investing billions of dollars while capturing few benets. For example, offshore platforms can generate more than a terabyte of data every day, but the satellite uplink is too slow to transfer all that data  so the operations teams on land cant keep up with the available data. An integrated plan would spot this and place the analytics resources closer to the data: on the platform.  Outdated operating model. Valuable information can get stranded if companies neglect to connect information flows. For example, a company might invest in a visual scheduling system with sophisticated routing capabilities. But if it fails to connect it to line managements scheduling systems, the data winds up stranded.  Unprepared workforce. As in many other industries, oil and gas teams are mostly unprepared to take full advantage of the potential in digital. Most will need to invest in the capabilities of their teams  in most cases requiring a combination of recruiting fresh talent (including data scientists and other digitally savvy professionals) and teaching new skills to current staff. As companies put in place specic digital capabilities that can deliver fast results at reasonable costs, executives need to develop a strategic roadmap encompassing the digital strategy, operating model changes and, most important, people capabilities. Related: How Offshore Drilling Can Transform to Thrive in the Long Term Approaches differ, of course, from one company to the next, depending on appetite for risk and the potential gains at hand. But they typically include ve key elements:  Identify the areas of the value chain with the highest impact on nancial and operating results and cross them with the opportunities to enhance delivery through digital technologies.  Monitor key industry and technology trends, focusing on the identied value chain areas that are specic to the operations. Decide whether to lead the industry by innovating or by acting as a fast follower by implementing tested technologies and processes.  Clearly dene the links between the companys most critical decisions and digital applications, including showing how digital applications will improve decision-making effectiveness. In addition, adjust the operating model to facilitate the sharing of key information, leveraging all available data sources.  Evaluate the investment necessary to digitize the key activities of the companys value chain, and develop a multiyear budget and an overall roadmap balancing the capture of economic benets with the nancial burden on the cash ow.  Assess current personnel capabilities and develop a plan to address the gap. The talent upgrade plan should deal with decits in technical expertise and include a comprehensive set of actions to instruct those at the front line on how to change their way of working. Every oil and gas companys digital journey will differ, depending on their industry position, ambitions and opportunities. However, at a time when low oil and gas prices are restricting investment, this is one area of the business where cost has been decreasing and tools rapidly improvingso it should merit an increasing share of budget and focus. But whether a leader or fast follower, every oil and gas company will need a strategic plan that measures out short-term gains while building capabilities to develop long-term competitive advantage. Perhaps most important, they should all include details on how the ow of information necessitates changes to the operating model, and how each company plans to upgrade its talent and capabilities to make the most of its potential. Learn more: Riccardo Bertocco is a partner with Bain & Company in Dallas. Lodewijk de Graauw is a partner in Bains Perth ofce. Dmitry Naberezhnev is a Bain partner in Moscow. Follow @BainInsightson Twitter. We are a global business consulting firm that helps management make the big decisions and take action: on strategy, operations, mergers & acquisitions, technology an... Read More",https://www.forbes.com/sites/baininsights/2016/06/24/how-digital-technology-will-change-oil-and-gas-companies/
globalnews,NotProvided,2016-06-22 03:36:51,Alberta oil companies to face stricter rules for sale of oil and gas wells,The Alberta Energy Regulator is making it tougher to transfer oil and gas well licences in view of a recent court ruling that allowed the buyer of a bankrupt company's assets to avoid acquiring wells with high environmental liabilities.,"Copy article link Copy link The Alberta Energy Regulator is making it tougher to transfer oil and gas well licences in view of a recent court rulingthat allowed the buyer of a bankrupt companys assets to avoid acquiring wells with high environmental liabilities. In an announcement, the AER said licence transfer applications will now be considered non-routine under its temporary new measures. It added that it will refuse to approve the transfer of AER licences, approvals and permits if the transaction results in the buyers asset value falling below two times the cost of its environmental liabilities. Currently, companies are only required to maintain an equal amount of assets and liabilities. AER spokesman Ryan Bartlett said 219 or 28 per cent of the 788 companies registered as licensees with the AER have a liability management ratio or LMR above the newly required 2.0. He said companies can improve their LMR by cleaning up old wellsites, posting security or revamping their proposed well transactions. Story continues below advertisement The regulator acknowledged its regulations may inconvenience some stakeholders but pointed out it wants to work with industry and the province to develop broader permanent regulatory measures. They are attempting to put a higher hurdle rate for acquirers of assets. That will have an impact and this is of deep concern to us, said Gary Leach, president of the Explorers and Producers Association of Canada. He said the new rules will reduce the number of potential buyers for assets his members are trying to sell. But he added the rules may be necessary to avoid increasing liabilities for the Alberta orphan well fund, an industry financed pool of money that is used to clean up well sites for owners who cant or wont do it themselves. READ MORE: Map: Alberta littered with inactive oil and gas wells This case has shaken up what was the old order and until theres a new order in place, whether its through legislative fixes or what, what were seeing is the regulator trying to stabilize the situation, said Leach. He called on the regulator to use flexibility in interpreting new regulations. The Alberta Court of Queens Bench ruled in May in the case of bankrupt producer Redwater Energy that the rights of lenders to be paid back ranks above the right of the provincial regulator to require the reclamation of oil and gas wells. Story continues below advertisement The regulator has launched an appeal of the decision because it could encourage more companies to enter receivership and bankruptcy to avoid obligations to clean up around oil and gas wells. READ MORE: The lawsuit has been closely watched as a precedent-setting case as more bankruptcies loom in the oil and gas industry in the face of chronically low prices. Related News",https://globalnews.ca/news/2777579
starjobsearch,NotProvided,2021-05-02 01:27:00,"Oil & Gas/ Metal Industry, Dudley, West Midlands",The position of Inbound/ Outbound Sales and Business Development Executive will independently generate new business and support the growth of existing customers by working closely with the sales team in based at our client's premises in Dudley. This...,"Apply for this job now Job Description The position of Inbound/ Outbound Sales and Business Development Executive will independently generate new business and support the growth of existing customers by working closely with the sales team in based at our client's premises in Dudley. This vacancy is ideally suited to a self starter with a proven track record of creating selling opportunities and delivering strong results. The roles main responsibility is to increase the sales of associated piping products to existing and new customers worldwide. Main Duties Seeks out new business opportunities and industry advancements. Back-to-back trading with existing and new client's small packages of materials from group stock or supply chain. Added value to the clients manufacturing capabilities and opportunity to increase revenue. Builds market position by locating, defining & developing consistent business, leading to sustained profitability. Negotiates contracts and closes business deals, integrating the contract requirements with business operations. Maintains up to date market intelligence; creates useful networks and absorbs information from industry publications. Manages major customers and regularly monitoring performance. Takes accountability for meeting or exceeding sales targets (G.P)Candidate requirements include: A proven track record of generating new business and enhancing profitability. A sound knowledge of piping components and the supply chain for these products including valves would be an advantage but not essential. Excellent negotiation skills; closing sales & selling to customer needs. Delivers excellent customer service; demonstrating a high level of professionalism and an ability to enhance the reputation and profile of the business. Highly motivated at all times and performs well in a team. Solution seeking; looks beyond standard approach to satisfy customer needs.If you are interested in finding out more about this fantastic opportunity, then please apply now with your most up-to-date CV and one of the Gleeson team will be in touch with you to discuss more! By applying you will be registered as a candidate with Gleeson Recruitment Limited. Our Privacy Policy is available on our website and explains how we will use your data",https://starjobsearch.co.uk/jobs/sales-executive-oil-gas-metal-industry-dudley-west-midlands/275683374-2/
oilandgas360,NotProvided,2021-05-01 22:30:00,How to Improve The Timing of Investment Decisions in Devon Energy #DVN,"The latest oil and gas news, dedicated to all things oil and gas: people, technologies, transactions, trends, and macro-economic analysis that impact commodity prices.","or call 303-296-8834 x 243 Advertise on OAG360 OAG360 has multiple advertising opportunities.  Reach your investors/buyers by advertising on the website, eMail campaigns, webcasts and videos.",https://www.oilandgas360.com/how-to-improve-the-timing-of-investment-decisions-in-devon-energy-dvn/
indiatimes,NotProvided,2021-05-01 17:28:00,"Outlook for global Oil & Gas industry turns positive on high prices, demand: Moody's Investors Service, Energy News, ET EnergyWorld","The agency maintained its medium-term commodity price ranges, $45-$65 per barrel for oil and $2-$3 per MMBtu for Henry Hub natural gas.","Oil & Gas Outlook for global Oil & Gas industry turns positive on high prices, demand: Moody's Investors Service The agency maintained its medium-term commodity price ranges, $45-$65 per barrel for oil and $2-$3 per MMBtu for Henry Hub natural gas. May 01, 2021, 22:58 IST New Delhi: Sustained momentum in commodity prices will support the turnaround in the global Oil&amp; Gas industry s fundamental conditions and a positive global sector outlook through mid-to-late 2022, according to Moody's Investors Service. ""Pent-up consumer demand and a pickup in trade and manufacturing activity around the world are spurring a rebound in economic activity, encouraging a faster recovery in demand and prices for oil and gas through late 2021 and into early 2022,"" the firm said in a report. Maintaining its medium-term commodity price ranges, $45-$65 per barrel for oil and $2-$3 per MMBtufor Henry Hubnatural gas, the credit rating agency said the exploration and production (E&P) sector will continue to make gains in earnings and operating cash flow in 2021 based on higher oil prices, favorable market dynamics and low operating costs. The agency also said demand and earnings point to a positive direction for the refining and marketing (R&M) sector through mid-2022 as more economies reopen. The global demand for refined products will be up by about 6 per cent in 2021 from year-earlier levels, and by nearly 4 per cent in 2022. However, while the outlook for global energy is positive over the next 12-18 months, over the longer term there is growing concern around climate change leading to increased risks for the industry from energy transition, greater regulation and reduced investor demand. Oil prices staged a recovery after tumbling in March 2020, despite a widespread uncertainty surrounding economic recovery, and are trading at or above the range of $45-$65 per barrel. Prices were propelled upward by restricted supply amid a steadily improving demand for oil and refined products. Follow and connect with us on Twitter Facebook",https://energy.economictimes.indiatimes.com/news/oil-and-gas/outlook-for-global-oil-gas-industry-turns-positive-on-high-prices-demand-moodys-investors-service/82346862
