window,NewsScore,StockPrice_IXIC,StockPrice_BTC,StockPrice_MARA,StockPrice_RIOT
"Row(start=datetime.datetime(2016, 3, 30, 20, 0), end=datetime.datetime(2016, 4, 10, 20, 0))","[0.0421090909090909, 0.04210909090909092, 0.2396555555555556, 0.2396555555555556, 0.3818, 0.3818, 0.6705, 0.6705, 0.0399, 0.03990000000000001, 0.34131, 0.34131, 0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669]","[0.34565533783488345, 0.3492407538118469, 0.0, 0.9209397037971679, 0.9124196560749065, 0.903899608352645, 0.8953795606303836, 0.8868595129081221, 0.8783394651858607, 0.6300337928579014, 0.1707819829723973, 0.017658486005009588, 0.08993522515038134, 1.0, 0.6526768815625917, 0.07445672203031987, 0.5301293623081584, 0.10413322256438445, 0.1622119642957531, 0.22029070602712172, 0.2783694477584904, 0.336448189489859, 4842.5498046875, 4920.72021484375]","[0.0, 0.163067914819961, 0.16650270286716903, 0.299435085548535, 0.35061545587007303, 0.622132746444352, 0.6553683776373662, 0.6255675344915601, 0.6693272751244942, 0.685388966081468, 0.6380862551006264, 0.9718624597274482, 1.0, 0.9035115298667667, 0.9264427969181567, 0.829511455491435, 0.8474595753168558, 0.5640861807252947, 0.6152665510468328, 0.46017708090345744, 0.48022799419872414, 0.6986818662799149, 415.2569885253906, 424.28399658203125]","[1.0, 0.5000003311370119, 0.44444481237445765, 0.38888929361190344, 0.35555598235437114, 0.3222226710968389, 0.28888935983930536, 0.25555604858177305, 0.22222273732424075, 0.33333377484934923, 0.0, 0.05555551876255423, 0.22222273732424075, 0.0, 0.33333377484934923, 0.1666665562876627, 0.05555551876255423, 0.0, 0.03333331125753229, 0.06666662251506458, 0.09999993377259811, 0.13333324503013042, 30.399999618530273, 33.279998779296875]","[0.0, 0.5000001528324282, 0.37179483652584994, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.7307694776523839, 0.9102564925507947, 1.0, 0.8589744882941058, 0.8589744882941058, 0.871794989358278, 0.8974359914866225, 0.8461539872299336, 0.8512821876556023, 0.8564103880812715, 0.8615385885069402, 0.8666667889326094, 2.309999942779541, 3.0899999141693115]"
"Row(start=datetime.datetime(2016, 3, 31, 20, 0), end=datetime.datetime(2016, 4, 11, 20, 0))","[0.2396555555555556, 0.2396555555555556, 0.3818, 0.3818, 0.6705, 0.6705, 0.0399, 0.03990000000000001, 0.34131, 0.34131, 0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999]","[0.10478549700277355, 0.9292240762279681, 0.9215968059407712, 0.9139695356535743, 0.9063422653663774, 0.8987149950791805, 0.8910877247919835, 0.6688008857475172, 0.257672005010289, 0.12059362977543168, 0.18529681488771585, 1.0, 0.6890713071486088, 0.17144023440994902, 0.5793649906057081, 0.19800706808624854, 0.25, 0.30199293191375143, 0.3539858638275029, 0.40597879574125434, 0.4579717276550058, 0.0, 4833.39990234375, 4920.72021484375]","[0.0, 0.15948747901000218, 0.22089184168471604, 0.5466484956154227, 0.5865234073965913, 0.5507694304511126, 0.6032707892239176, 0.6225410268266368, 0.5657889399949705, 0.9662415938607806, 1.0, 0.8842366130458413, 0.9117487203199403, 0.795453992358424, 0.8169874992901933, 0.47700631930755316, 0.538410681982267, 0.3523399284514857, 0.37639629115864787, 0.6384893691238146, 0.6794269629196985, 0.7606329042044893, 416.760009765625, 424.28399658203125]","[1.0, 0.875000186264415, 0.8000002980230646, 0.7250004097817141, 0.6500005215403609, 0.5750006332990104, 0.50000074505766, 0.75000037252883, 0.0, 0.124999813735585, 0.50000074505766, 0.0, 0.75000037252883, 0.374999441206755, 0.124999813735585, 0.0, 0.07499988824135044, 0.14999977648270088, 0.2249996647240541, 0.29999955296540454, 0.374999441206755, 0.124999813735585, 30.399999618530273, 31.68000030517578]","[0.0, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.5714289884873023, 0.8571429961624341, 1.0, 0.7755104225409678, 0.7755104225409678, 0.7959185659463344, 0.8367348527570675, 0.7551022791356012, 0.7632655364977475, 0.7714287938598947, 0.779592051222041, 0.7877553085841882, 0.7959185659463344, 0.8979592829731672, 2.5999999046325684, 3.0899999141693115]"
"Row(start=datetime.datetime(2016, 4, 1, 20, 0), end=datetime.datetime(2016, 4, 12, 20, 0))","[0.3818, 0.3818, 0.6705, 0.6705, 0.0399, 0.03990000000000001, 0.34131, 0.34131, 0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677]","[0.9215968059407712, 0.9139695356535743, 0.9063422653663774, 0.8987149950791805, 0.8910877247919835, 0.6688008857475172, 0.257672005010289, 0.12059362977543168, 0.18529681488771585, 1.0, 0.6890713071486088, 0.17144023440994902, 0.5793649906057081, 0.19800706808624854, 0.25, 0.30199293191375143, 0.3539858638275029, 0.40597879574125434, 0.4579717276550058, 0.0, 0.062069428290238884, 0.443080656705735, 4833.39990234375, 4920.72021484375]","[0.0, 0.3621434433251869, 0.4064723547395096, 0.3667246836869967, 0.42509040735162823, 0.44651311695690205, 0.3834218618954431, 0.8286047958732764, 0.8661339922623933, 0.7374399163111997, 0.768025106640093, 0.6387403392642961, 0.6626791237926899, 0.2847222848485395, 0.35298547169641165, 0.14613074571410534, 0.17287418723565431, 0.46424287788469343, 0.5097531721482229, 0.6000297600259724, 0.6532190428093465, 1.0, 418.4219970703125, 425.19000244140625]","[0.9142858602561642, 0.8285717205123283, 0.7428575807684894, 0.6571434410246535, 0.5714293012808177, 0.8571431004269392, 0.0, 0.14285689957306077, 0.5714293012808177, 0.0, 0.8571431004269392, 0.4285706987191823, 0.14285689957306077, 0.0, 0.08571413974383582, 0.17142827948767164, 0.25714241923151065, 0.34285655897534645, 0.4285706987191823, 0.14285689957306077, 0.4285706987191823, 1.0, 30.399999618530273, 31.520000457763672]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5434784974854604, 0.8478261658284868, 1.0, 0.7608696891590506, 0.7608696891590506, 0.7826088083264097, 0.8260870466611278, 0.7391305699916916, 0.7478262176586349, 0.7565218653255791, 0.7652175129925223, 0.7739131606594665, 0.7826088083264097, 0.8913044041632049, 1.0, 0.8913044041632049, 2.630000114440918, 3.0899999141693115]"
"Row(start=datetime.datetime(2016, 4, 2, 20, 0), end=datetime.datetime(2016, 4, 13, 20, 0))","[0.6705, 0.6705, 0.0399, 0.03990000000000001, 0.34131, 0.34131, 0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153]","[0.6941069662074488, 0.6882657496584773, 0.6824245331095057, 0.5121898994916771, 0.1973337672849049, 0.09235460124275736, 0.1419064463220463, 0.765833165605341, 0.5277136604814293, 0.13129461743029297, 0.44369692479647815, 0.15164037976472403, 0.19145829140133525, 0.2312762030379465, 0.27109411467455774, 0.310912026311169, 0.35072993794778023, 0.0, 0.047534826754827356, 0.3393258619434464, 0.6261193166975715, 1.0, 4833.39990234375, 4947.419921875]","[0.28323415861740797, 0.23999136615828381, 0.3034893475072235, 0.3267958145490044, 0.25815677290543493, 0.7424858596313938, 0.7833151008834971, 0.643304602916865, 0.6765792326673175, 0.5359261021638566, 0.5619698894770149, 0.15077827215242656, 0.22504402768716059, 0.0, 0.029095065465123693, 0.34608460183763473, 0.39559674072475215, 0.49381159583809586, 0.5516779577039868, 0.9289523127412938, 1.0, 0.6949065239466468, 419.4110107421875, 425.6319885253906]","[0.7428575807684894, 0.6571434410246535, 0.5714293012808177, 0.8571431004269392, 0.0, 0.14285689957306077, 0.5714293012808177, 0.0, 0.8571431004269392, 0.4285706987191823, 0.14285689957306077, 0.0, 0.08571413974383582, 0.17142827948767164, 0.25714241923151065, 0.34285655897534645, 0.4285706987191823, 0.14285689957306077, 0.4285706987191823, 1.0, 0.4285706987191823, 0.28571379914612155, 30.399999618530273, 31.520000457763672]","[0.0, 0.0, 0.0, 0.0, 0.5434784974854604, 0.8478261658284868, 1.0, 0.7608696891590506, 0.7608696891590506, 0.7826088083264097, 0.8260870466611278, 0.7391305699916916, 0.7478262176586349, 0.7565218653255791, 0.7652175129925223, 0.7739131606594665, 0.7826088083264097, 0.8913044041632049, 1.0, 0.8913044041632049, 0.8695652849958458, 0.7826088083264097, 2.630000114440918, 3.0899999141693115]"
"Row(start=datetime.datetime(2016, 4, 3, 20, 0), end=datetime.datetime(2016, 4, 14, 20, 0))","[0.0399, 0.03990000000000001, 0.34131, 0.34131, 0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153, 0.2878363636363636, 0.28783636363636367]","[0.6812284384177699, 0.5112921773404069, 0.19698789772702985, 0.09219273008639595, 0.14165772497787735, 0.7644908794774349, 0.5267887296247056, 0.13106449558187952, 0.44291925120659364, 0.1513745976240045, 0.19112271986935872, 0.23087084211471295, 0.2706189643600672, 0.31036708660542145, 0.3501152088507757, 0.0, 0.0474515118222663, 0.33873112092440677, 0.6250219089187468, 0.9982472865002586, 1.0, 0.9848539904156496, 4833.39990234375, 4947.6201171875]","[0.3034893475072235, 0.3267958145490044, 0.25815677290543493, 0.7424858596313938, 0.7833151008834971, 0.643304602916865, 0.6765792326673175, 0.5359261021638566, 0.5619698894770149, 0.15077827215242656, 0.22504402768716059, 0.0, 0.029095065465123693, 0.34608460183763473, 0.39559674072475215, 0.49381159583809586, 0.5516779577039868, 0.9289523127412938, 1.0, 0.6949065239466468, 0.7272147520959141, 0.7829962374110249, 419.4110107421875, 425.6319885253906]","[0.5714293012808177, 0.8571431004269392, 0.0, 0.14285689957306077, 0.5714293012808177, 0.0, 0.8571431004269392, 0.4285706987191823, 0.14285689957306077, 0.0, 0.08571413974383582, 0.17142827948767164, 0.25714241923151065, 0.34285655897534645, 0.4285706987191823, 0.14285689957306077, 0.4285706987191823, 1.0, 0.4285706987191823, 0.28571379914612155, 0.28571379914612155, 0.0, 30.399999618530273, 31.520000457763672]","[0.0, 0.0, 0.5434784974854604, 0.8478261658284868, 1.0, 0.7608696891590506, 0.7608696891590506, 0.7826088083264097, 0.8260870466611278, 0.7391305699916916, 0.7478262176586349, 0.7565218653255791, 0.7652175129925223, 0.7739131606594665, 0.7826088083264097, 0.8913044041632049, 1.0, 0.8913044041632049, 0.8695652849958458, 0.7826088083264097, 0.8260870466611278, 0.8130434715004154, 2.630000114440918, 3.0899999141693115]"
"Row(start=datetime.datetime(2016, 4, 4, 20, 0), end=datetime.datetime(2016, 4, 15, 20, 0))","[0.34131, 0.34131, 0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153, 0.2878363636363636, 0.28783636363636367, -0.05377500000000002, -0.05377500000000001]","[0.19698789772702985, 0.09219273008639595, 0.14165772497787735, 0.7644908794774349, 0.5267887296247056, 0.13106449558187952, 0.44291925120659364, 0.1513745976240045, 0.19112271986935872, 0.23087084211471295, 0.2706189643600672, 0.31036708660542145, 0.3501152088507757, 0.0, 0.0474515118222663, 0.33873112092440677, 0.6250219089187468, 0.9982472865002586, 1.0, 0.9848539904156496, 0.923043052628429, 0.9177036888206803, 4833.39990234375, 4947.6201171875]","[0.1558908216223902, 0.4483582956134322, 0.47301348437092683, 0.38846659715145626, 0.4085598502263194, 0.32362490224423535, 0.3393517311657227, 0.09104912671516932, 0.1358953243121549, 0.0, 0.017569376969926772, 0.208987013294784, 0.23888546579140696, 0.29819359196151385, 0.3331368343721118, 0.5609581249851885, 0.603861056473209, 0.4196269877005474, 0.4391366684835415, 0.472820935137569, 0.48689480294807685, 1.0, 419.4110107421875, 429.7130126953125]","[0.41666625274553887, 0.4999995032946466, 0.7500002483526766, 0.41666625274553887, 0.9166667494508922, 0.6666660043928622, 0.4999995032946466, 0.41666625274553887, 0.4666662030750031, 0.5166661534044674, 0.5666661037339336, 0.6166660540633978, 0.6666660043928622, 0.4999995032946466, 0.6666660043928622, 1.0, 0.6666660043928622, 0.5833327538437544, 0.5833327538437544, 0.41666625274553887, 0.41666625274553887, 0.0, 29.600000381469727, 31.520000457763672]","[0.0, 0.4999995742524938, 0.7499993613787407, 0.3571425530374956, 0.3571425530374956, 0.39285680834124515, 0.46428531894874425, 0.32142829773374604, 0.3357139998552452, 0.349999701976746, 0.36428540409824517, 0.37857110621974593, 0.39285680834124515, 0.571428084859993, 0.7499993613787407, 0.571428084859993, 0.5357138295562434, 0.39285680834124515, 0.46428531894874425, 0.44285659546749206, 1.0, 0.5357138295562434, 2.880000114440918, 3.1600000858306885]"
"Row(start=datetime.datetime(2016, 4, 5, 20, 0), end=datetime.datetime(2016, 4, 16, 20, 0))","[0.21582142857142855, 0.21582142857142855, 0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153, 0.2878363636363636, 0.28783636363636367, -0.05377500000000002, -0.05377500000000001, 0.0, 0.0]","[0.14165772497787735, 0.7644908794774349, 0.5267887296247056, 0.13106449558187952, 0.44291925120659364, 0.1513745976240045, 0.19112271986935872, 0.23087084211471295, 0.2706189643600672, 0.31036708660542145, 0.3501152088507757, 0.0, 0.0474515118222663, 0.33873112092440677, 0.6250219089187468, 0.9982472865002586, 1.0, 0.9848539904156496, 0.923043052628429, 0.9177036888206803, 0.8846791465567762, 0.851654604292864, 4833.39990234375, 4947.6201171875]","[0.43660912767312965, 0.35856919034351137, 0.37711601403247813, 0.2987178821129653, 0.3132343330881569, 0.08404174744273672, 0.12543646420925125, 0.0, 0.01621719169972903, 0.19290282536236442, 0.22050021464332295, 0.2752438320805637, 0.30749775103015126, 0.51778531839671, 0.5573863279039054, 0.38733139561908875, 0.4053395602682905, 0.43643139753310567, 0.4494221036139373, 0.9230373807499118, 0.910672831623934, 1.0, 419.4110107421875, 430.5719909667969]","[0.7500002483526766, 0.41666625274553887, 0.9166667494508922, 0.6666660043928622, 0.4999995032946466, 0.41666625274553887, 0.4666662030750031, 0.5166661534044674, 0.5666661037339336, 0.6166660540633978, 0.6666660043928622, 0.4999995032946466, 0.6666660043928622, 1.0, 0.6666660043928622, 0.5833327538437544, 0.5833327538437544, 0.41666625274553887, 0.41666625274553887, 0.0, 0.06666660043928696, 0.13333320087857206, 29.600000381469727, 31.520000457763672]","[0.631578154841527, 0.05263151290346058, 0.05263151290346058, 0.10526302580692116, 0.21052605161384233, 0.0, 0.021052605161383298, 0.042105210322768934, 0.06315781548415222, 0.08421042064553787, 0.10526302580692116, 0.3684205903242241, 0.631578154841527, 0.3684205903242241, 0.3157890774207635, 0.10526302580692116, 0.21052605161384233, 0.1789468929049162, 1.0, 0.3157890774207635, 0.3368416825821468, 0.35789428774353244, 2.9700000286102295, 3.1600000858306885]"
"Row(start=datetime.datetime(2016, 4, 6, 20, 0), end=datetime.datetime(2016, 4, 17, 20, 0))","[0.2341, 0.2341, 0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153, 0.2878363636363636, 0.28783636363636367, -0.05377500000000002, -0.05377500000000001, 0.0, 0.0, -0.015550000000000008, -0.015550000000000008]","[0.5267887296247056, 0.13106449558187952, 0.44291925120659364, 0.1513745976240045, 0.19112271986935872, 0.23087084211471295, 0.2706189643600672, 0.31036708660542145, 0.3501152088507757, 0.0, 0.0474515118222663, 0.33873112092440677, 0.6250219089187468, 0.9982472865002586, 1.0, 0.9848539904156496, 0.923043052628429, 0.9177036888206803, 0.8846791465567762, 0.851654604292864, 0.8186300620289598, 0.7856055197650477, 4833.39990234375, 4947.6201171875]","[0.37496601598608015, 0.2970148442172802, 0.31144853460931976, 0.08356261214724593, 0.12472133108585721, 0.0, 0.016124734924691426, 0.19180305584253168, 0.21924310804197705, 0.2736746234571258, 0.3057446577130118, 0.5148333423957371, 0.5542085802838345, 0.38512315806644554, 0.4030286553205372, 0.43394323310314825, 0.44685987711380565, 0.9177749986406395, 0.9054809417649937, 0.9942988418248057, 1.0, 0.711625251481703, 419.4110107421875, 430.635986328125]","[0.9166667494508922, 0.6666660043928622, 0.4999995032946466, 0.41666625274553887, 0.4666662030750031, 0.5166661534044674, 0.5666661037339336, 0.6166660540633978, 0.6666660043928622, 0.4999995032946466, 0.6666660043928622, 1.0, 0.6666660043928622, 0.5833327538437544, 0.5833327538437544, 0.41666625274553887, 0.41666625274553887, 0.0, 0.06666660043928696, 0.13333320087857206, 0.19999980131785902, 0.2666664017571441, 29.600000381469727, 31.520000457763672]","[0.05263151290346058, 0.10526302580692116, 0.21052605161384233, 0.0, 0.021052605161383298, 0.042105210322768934, 0.06315781548415222, 0.08421042064553787, 0.10526302580692116, 0.3684205903242241, 0.631578154841527, 0.3684205903242241, 0.3157890774207635, 0.10526302580692116, 0.21052605161384233, 0.1789468929049162, 1.0, 0.3157890774207635, 0.3368416825821468, 0.35789428774353244, 0.37894689290491573, 0.39999949806630136, 2.9700000286102295, 3.1600000858306885]"
"Row(start=datetime.datetime(2016, 4, 7, 20, 0), end=datetime.datetime(2016, 4, 18, 20, 0))","[0.027450000000000013, 0.027450000000000013, -0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153, 0.2878363636363636, 0.28783636363636367, -0.05377500000000002, -0.05377500000000001, 0.0, 0.0, -0.015550000000000008, -0.015550000000000008, 0.04048, 0.04047999999999999]","[0.39954418898803784, 0.13655049013180728, 0.1724060805651748, 0.20826167099854234, 0.24411726143190984, 0.2799728518652774, 0.31582844229864493, 0.0, 0.042804587417765064, 0.30555919758751804, 0.5638135416747005, 0.9004889749265381, 0.9020700452725997, 0.8884072837211454, 0.8326494882730856, 0.8278330081213028, 0.7980425577861959, 0.7682521074510817, 0.7384616571159749, 0.7086712067808608, 0.6788807564457539, 1.0, 4833.39990234375, 4960.02001953125]","[0.31144853460931976, 0.08356261214724593, 0.12472133108585721, 0.0, 0.016124734924691426, 0.19180305584253168, 0.21924310804197705, 0.2736746234571258, 0.3057446577130118, 0.5148333423957371, 0.5542085802838345, 0.38512315806644554, 0.4030286553205372, 0.43394323310314825, 0.44685987711380565, 0.9177749986406395, 0.9054809417649937, 0.9942988418248057, 1.0, 0.711625251481703, 0.7305122070578, 0.8178184981784569, 419.4110107421875, 430.635986328125]","[0.4999995032946466, 0.41666625274553887, 0.4666662030750031, 0.5166661534044674, 0.5666661037339336, 0.6166660540633978, 0.6666660043928622, 0.4999995032946466, 0.6666660043928622, 1.0, 0.6666660043928622, 0.5833327538437544, 0.5833327538437544, 0.41666625274553887, 0.41666625274553887, 0.0, 0.06666660043928696, 0.13333320087857206, 0.19999980131785902, 0.2666664017571441, 0.3333330021964311, 0.41666625274553887, 29.600000381469727, 31.520000457763672]","[0.21052605161384233, 0.0, 0.021052605161383298, 0.042105210322768934, 0.06315781548415222, 0.08421042064553787, 0.10526302580692116, 0.3684205903242241, 0.631578154841527, 0.3684205903242241, 0.3157890774207635, 0.10526302580692116, 0.21052605161384233, 0.1789468929049162, 1.0, 0.3157890774207635, 0.3368416825821468, 0.35789428774353244, 0.37894689290491573, 0.39999949806630136, 0.42105210322768466, 0.05263151290346058, 2.9700000286102295, 3.1600000858306885]"
"Row(start=datetime.datetime(2016, 4, 8, 20, 0), end=datetime.datetime(2016, 4, 19, 20, 0))","[-0.3612, -0.3612, 0.3669, 0.3669, -0.10943, -0.10942999999999999, 0.13677, 0.13677, 0.3153, 0.3153, 0.2878363636363636, 0.28783636363636367, -0.05377500000000002, -0.05377500000000001, 0.0, 0.0, -0.015550000000000008, -0.015550000000000008, 0.04048, 0.04047999999999999, 0.21119230769230768, 0.21119230769230768]","[0.1618242692968962, 0.19547914215908063, 0.22913401502126504, 0.26278888788344945, 0.2964437607456339, 0.0, 0.04017735951497602, 0.2868048140439779, 0.5292082164509999, 0.8452194371550086, 0.8467034657497059, 0.8338792869423581, 0.781543751696679, 0.7770228938557596, 0.7490608994661143, 0.7210989050764623, 0.693136910686817, 0.665174916297165, 0.6372129219075197, 0.9386227490724821, 1.0, 0.792663107411094, 4833.39990234375, 4968.2998046875]","[0.0869669895108806, 0.0, 0.011243623210660116, 0.13374243363494528, 0.15287611919643448, 0.1908306935179024, 0.21319282121861843, 0.3589883582717692, 0.38644433449162935, 0.26854268918045343, 0.28102802090620077, 0.30258445987575333, 0.31159111202106543, 0.6399557155558588, 0.6313831874562795, 0.6933150584171723, 0.6972904214036425, 0.4962094714871497, 0.5093791646998382, 0.5702570052265502, 0.5772143643874207, 1.0, 419.4110107421875, 435.5090026855469]","[0.4666662030750031, 0.5166661534044674, 0.5666661037339336, 0.6166660540633978, 0.6666660043928622, 0.4999995032946466, 0.6666660043928622, 1.0, 0.6666660043928622, 0.5833327538437544, 0.5833327538437544, 0.41666625274553887, 0.41666625274553887, 0.0, 0.06666660043928696, 0.13333320087857206, 0.19999980131785902, 0.2666664017571441, 0.3333330021964311, 0.41666625274553887, 0.9166667494508922, 0.16666650109821554, 29.600000381469727, 31.520000457763672]","[0.0, 0.02150534877806814, 0.043010697556133896, 0.06451604633420203, 0.08602139511226779, 0.35483825483810166, 0.6236551145639355, 0.35483825483810166, 0.3010748828929349, 0.08602139511226779, 0.19354813900260132, 0.16128985947152183, 1.0, 0.3010748828929349, 0.32258023167100064, 0.3440855804490688, 0.3655909292271345, 0.38709627800520263, 0.4086016267832684, 0.03225802316710102, 0.03225802316710102, 0.6774184865091023, 2.974000024795532, 3.1600000858306885]"
