window,TwitterScore,NewsScore,StockPrice_IXIC,StockPrice_MARA,StockPrice_RIOT,StockPrice_BTC
"Row(start=datetime.datetime(2021, 1, 15, 19, 0), end=datetime.datetime(2021, 1, 26, 19, 0))","[-0.03497299999999999, 0.04657000000000001, 0.05916100000000002, 0.16027699999999992, 0.251545, 0.15632100000000013, 0.07647, 0.128589, 0.052756, 0.035182, 0.06381200000000004, -0.02217300000000002, -0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002]","[0.6365000000000001, 0.6365000000000001, 0.0005000000000000004, 0.0005000000000000004, -0.16522727272727275, -0.16522727272727275, 0.03765000000000002, 0.03765000000000002, -0.15402500000000002, -0.15402500000000002, 0.15915384615384617, 0.15915384615384617, -0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879]",,,,
"Row(start=datetime.datetime(2021, 1, 16, 19, 0), end=datetime.datetime(2021, 1, 27, 19, 0))","[0.05916100000000002, 0.16027699999999992, 0.251545, 0.15632100000000013, 0.07647, 0.128589, 0.052756, 0.035182, 0.06381200000000004, -0.02217300000000002, -0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196]","[0.0005000000000000004, 0.0005000000000000004, -0.16522727272727275, -0.16522727272727275, 0.03765000000000002, 0.03765000000000002, -0.15402500000000002, -0.15402500000000002, 0.15915384615384617, 0.15915384615384617, -0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115]",,,,
"Row(start=datetime.datetime(2021, 1, 17, 19, 0), end=datetime.datetime(2021, 1, 28, 19, 0))","[0.251545, 0.15632100000000013, 0.07647, 0.128589, 0.052756, 0.035182, 0.06381200000000004, -0.02217300000000002, -0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999]","[-0.16522727272727275, -0.16522727272727275, 0.03765000000000002, 0.03765000000000002, -0.15402500000000002, -0.15402500000000002, 0.15915384615384617, 0.15915384615384617, -0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496]",,,,
"Row(start=datetime.datetime(2021, 1, 18, 19, 0), end=datetime.datetime(2021, 1, 29, 19, 0))","[0.07647, 0.128589, 0.052756, 0.035182, 0.06381200000000004, -0.02217300000000002, -0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002]","[0.03765000000000002, 0.03765000000000002, -0.15402500000000002, -0.15402500000000002, 0.15915384615384617, 0.15915384615384617, -0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073]","[0.10153365702723696, 0.2070101359450466, 0.4449203604317766, 0.6326367201859056, 0.7377551966296624, 0.7531876604218676, 0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0]","[0.9583875485084233, 0.7672302564578273, 0.60598188291308, 0.3667100388067387, 0.0, 0.1443431601076846, 0.3016905213437063, 0.2405720161893995, 0.2717814044140369, 0.3029907926386748, 0.3342001808633122, 0.3654095690879501, 0.39661895731258745, 0.23016890331650533, 0.13654088746045787, 0.27958387548508423, 0.08322490298315333, 0.1560466930934125, 0.2522755491751274, 0.4486345216770583, 1.0, 0.5578673308573348]","[1.0, 0.8316498287667567, 0.7283950485143017, 0.503928153536644, 0.17732883846961708, 0.17508411814344546, 0.2817057648168453, 0.3569021831970931, 0.38024676082532755, 0.40359133845356193, 0.4269359160817964, 0.45028049371003076, 0.4736250713382652, 0.21099878708894068, 0.13355764838252124, 0.17171703765418805, 0.0, 0.015712614146575998, 0.06733989723864721, 0.2401795091242337, 0.7530863298972514, 0.3063972602681077]","[1.0, 0.9078166675054099, 0.9046455890493684, 0.8237456595037995, 0.824011121735192, 0.06331274218710684, 0.062012480499219966, 0.414387172261084, 0.4111657692114136, 0.2633136857732374, 0.2627877937698153, 0.2990218157113381, 0.29844528458557695, 0.31142399728247194, 0.31017122942982234, 0.34418845302199186, 0.3432511574656535, 0.0, 0.0013678853605757133, 0.1959935332897187, 0.625816516531629, 0.6254485179407177]"
"Row(start=datetime.datetime(2021, 1, 19, 19, 0), end=datetime.datetime(2021, 1, 30, 19, 0))","[0.052756, 0.035182, 0.06381200000000004, -0.02217300000000002, -0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002, 0.07397699999999997, 0.13701899999999992]","[-0.15402500000000002, -0.15402500000000002, 0.15915384615384617, 0.15915384615384617, -0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073, -0.3883, -0.3883]","[0.4449203604317766, 0.6326367201859056, 0.7377551966296624, 0.7531876604218676, 0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406]","[0.60598188291308, 0.3667100388067387, 0.0, 0.1443431601076846, 0.3016905213437063, 0.2405720161893995, 0.2717814044140369, 0.3029907926386748, 0.3342001808633122, 0.3654095690879501, 0.39661895731258745, 0.23016890331650533, 0.13654088746045787, 0.27958387548508423, 0.08322490298315333, 0.1560466930934125, 0.2522755491751274, 0.4486345216770583, 1.0, 0.5578673308573348, 0.5537060857081773, 0.5495448405590193]","[0.9672132126122663, 0.6691505787993764, 0.2354694693419959, 0.23248877478274416, 0.37406835529105975, 0.473919348988565, 0.5049178901935547, 0.5359164313985444, 0.5669149726035341, 0.5979135138085238, 0.6289120550135134, 0.28017875071205794, 0.17734706245530096, 0.2280177329438665, 0.0, 0.02086429340540516, 0.08941856274012414, 0.3189269272182951, 1.0, 0.4068554269334719, 0.3964232233798338, 0.3859910198261952]","[1.0, 0.9105727916823413, 0.9108662350314339, 0.06998623875858165, 0.06854892263873716, 0.4580657632969125, 0.4545048073947724, 0.2910683354460791, 0.2904870116549857, 0.3305402903976575, 0.32990298985395283, 0.34424972724371167, 0.34286491105954603, 0.38046772922827876, 0.37943163778243055, 0.0, 0.001512067683890586, 0.2166522842339564, 0.6917808743082003, 0.6913740867271123, 0.6877331640355275, 0.6830318121795679]"
"Row(start=datetime.datetime(2021, 1, 20, 19, 0), end=datetime.datetime(2021, 1, 31, 19, 0))","[0.06381200000000004, -0.02217300000000002, -0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002, 0.07397699999999997, 0.13701899999999992, 0.0046249999999999954, 0.07974200000000001]","[0.15915384615384617, 0.15915384615384617, -0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073, -0.3883, -0.3883, 0.3262, 0.3262]","[0.7377551966296624, 0.7531876604218676, 0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406, 0.15268262121739962, 0.20357682828986812]","[0.0, 0.1443431601076846, 0.3016905213437063, 0.2405720161893995, 0.2717814044140369, 0.3029907926386748, 0.3342001808633122, 0.3654095690879501, 0.39661895731258745, 0.23016890331650533, 0.13654088746045787, 0.27958387548508423, 0.08322490298315333, 0.1560466930934125, 0.2522755491751274, 0.4486345216770583, 1.0, 0.5578673308573348, 0.5537060857081773, 0.5495448405590193, 0.5453835954098618, 0.5412223502607039]","[0.2354694693419959, 0.23248877478274416, 0.37406835529105975, 0.473919348988565, 0.5049178901935547, 0.5359164313985444, 0.5669149726035341, 0.5979135138085238, 0.6289120550135134, 0.28017875071205794, 0.17734706245530096, 0.2280177329438665, 0.0, 0.02086429340540516, 0.08941856274012414, 0.3189269272182951, 1.0, 0.4068554269334719, 0.3964232233798338, 0.3859910198261952, 0.37555881627255716, 0.36512661271891855]","[1.0, 0.0768348151099996, 0.07525684892290639, 0.5028902660785365, 0.49898084912444635, 0.31955113083759695, 0.31891292100092067, 0.3628856550888074, 0.36218599083603964, 0.3779366431689409, 0.37641631435346135, 0.41769879549344463, 0.4165613162390813, 0.0, 0.0016600326433643736, 0.23785301935852277, 0.7594758129159624, 0.7590292187120681, 0.7550320097349902, 0.749870602192205, 0.7501355050789594, 0.5241137967836056]"
"Row(start=datetime.datetime(2021, 1, 21, 19, 0), end=datetime.datetime(2021, 2, 1, 19, 0))","[-0.003670000000000004, 0.1605739999999999, 0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002, 0.07397699999999997, 0.13701899999999992, 0.0046249999999999954, 0.07974200000000001, 0.3096269999999998, 0.02547500000000001]","[-0.28632, -0.28632, 0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073, -0.3883, -0.3883, 0.3262, 0.3262, 0.25905, 0.25905]","[0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406, 0.15268262121739962, 0.20357682828986812, 0.2544710353623337, 0.5444897985277148]","[0.23829794141598332, 0.17163109438536023, 0.2056736729045539, 0.23971625142374808, 0.27375882994294176, 0.30780140846213594, 0.3418439869813296, 0.16028358624869124, 0.05815601301867038, 0.2141844528073199, 0.0, 0.07943255695668289, 0.18439707485735465, 0.39858152766467453, 1.0, 0.5177304983726662, 0.5131914951179988, 0.508652491863331, 0.5041134886086636, 0.4995744853539956, 0.49503548209932824, 0.5177304983726662]","[0.37406835529105975, 0.473919348988565, 0.5049178901935547, 0.5359164313985444, 0.5669149726035341, 0.5979135138085238, 0.6289120550135134, 0.28017875071205794, 0.17734706245530096, 0.2280177329438665, 0.0, 0.02086429340540516, 0.08941856274012414, 0.3189269272182951, 1.0, 0.4068554269334719, 0.3964232233798338, 0.3859910198261952, 0.37555881627255716, 0.36512661271891855, 0.35469440916528044, 0.3263783793617459]","[0.09909051432982727, 0.6621544195696227, 0.6570068995464634, 0.42075221541381197, 0.4199118860368619, 0.47781068062658816, 0.47688943436585285, 0.49762828090321337, 0.49562646756087364, 0.5499830124802985, 0.5484852962462607, 0.0, 0.002185761040882627, 0.31318050596674063, 1.0, 0.999411970471871, 0.9941488549004471, 0.9873528418411657, 0.9877016388433207, 0.690099392067934, 0.6901556820740454, 0.7989009376306733]"
"Row(start=datetime.datetime(2021, 1, 22, 19, 0), end=datetime.datetime(2021, 2, 2, 19, 0))","[0.31200600000000017, -0.03740200000000002, 0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002, 0.07397699999999997, 0.13701899999999992, 0.0046249999999999954, 0.07974200000000001, 0.3096269999999998, 0.02547500000000001, 0.069555, -0.012651000000000008]","[0.0, 0.0, -0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073, -0.3883, -0.3883, 0.3262, 0.3262, 0.25905, 0.25905, 0.21664285714285714, 0.21664285714285716]","[0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406, 0.15268262121739962, 0.20357682828986812, 0.2544710353623337, 0.5444897985277148, 0.7731367089983282, 0.8871748810121242]","[0.2056736729045539, 0.23971625142374808, 0.27375882994294176, 0.30780140846213594, 0.3418439869813296, 0.16028358624869124, 0.05815601301867038, 0.2141844528073199, 0.0, 0.07943255695668289, 0.18439707485735465, 0.39858152766467453, 1.0, 0.5177304983726662, 0.5131914951179988, 0.508652491863331, 0.5041134886086636, 0.4995744853539956, 0.49503548209932824, 0.5177304983726662, 0.6099290358013435, 0.8014184723353255]","[0.5049178901935547, 0.5359164313985444, 0.5669149726035341, 0.5979135138085238, 0.6289120550135134, 0.28017875071205794, 0.17734706245530096, 0.2280177329438665, 0.0, 0.02086429340540516, 0.08941856274012414, 0.3189269272182951, 1.0, 0.4068554269334719, 0.3964232233798338, 0.3859910198261952, 0.37555881627255716, 0.36512661271891855, 0.35469440916528044, 0.3263783793617459, 0.4128165317972968, 0.5514157020010393]","[0.502824059044451, 0.32201235170035897, 0.3213692262955207, 0.36568064361774966, 0.3649755904675891, 0.3808475562003905, 0.37931551763132915, 0.4209159613570869, 0.4197697211020523, 0.0, 0.0016728184124649398, 0.23968499163783116, 0.7653253860675651, 0.7648753521419307, 0.7608473561853124, 0.7556461948669977, 0.7559131380673312, 0.5281505836593835, 0.5281936638300426, 0.6114191685219347, 0.6106360325624547, 1.0]"
"Row(start=datetime.datetime(2021, 1, 23, 19, 0), end=datetime.datetime(2021, 2, 3, 19, 0))","[0.062047999999999985, 0.013026, 0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002, 0.07397699999999997, 0.13701899999999992, 0.0046249999999999954, 0.07974200000000001, 0.3096269999999998, 0.02547500000000001, 0.069555, -0.012651000000000008, 0.15630700000000006, 0.16276099999999996]","[-0.0129, -0.0129, 0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073, -0.3883, -0.3883, 0.3262, 0.3262, 0.25905, 0.25905, 0.21664285714285714, 0.21664285714285716, 0.30404, 0.30404]","[0.8573856765013671, 0.900049761596715, 0.9427138466920602, 0.8728892789393844, 0.943500984676444, 0.8575551675156297, 0.6421824531562423, 0.30868324783386264, 0.39004345846113014, 0.4114605481013689, 0.33048636683042754, 0.0, 0.04801873448719808, 0.09603746897439898, 0.14405620346159706, 0.19207493794879796, 0.24009367243599603, 0.5137266610571776, 0.7294552462294281, 0.8370503738151462, 1.0, 0.8335911888799419]","[0.27375882994294176, 0.30780140846213594, 0.3418439869813296, 0.16028358624869124, 0.05815601301867038, 0.2141844528073199, 0.0, 0.07943255695668289, 0.18439707485735465, 0.39858152766467453, 1.0, 0.5177304983726662, 0.5131914951179988, 0.508652491863331, 0.5041134886086636, 0.4995744853539956, 0.49503548209932824, 0.5177304983726662, 0.6099290358013435, 0.8014184723353255, 0.8382979414159833, 0.9333334235153116]","[0.5669149726035341, 0.5979135138085238, 0.6289120550135134, 0.28017875071205794, 0.17734706245530096, 0.2280177329438665, 0.0, 0.02086429340540516, 0.08941856274012414, 0.3189269272182951, 1.0, 0.4068554269334719, 0.3964232233798338, 0.3859910198261952, 0.37555881627255716, 0.36512661271891855, 0.35469440916528044, 0.3263783793617459, 0.4128165317972968, 0.5514157020010393, 0.6482860011392928, 0.7540983839553015]","[0.23180909405184885, 0.26377167374258026, 0.2632631069022481, 0.27471182599633875, 0.27360674049440575, 0.30361384877724773, 0.302787046167215, 0.0, 0.0012066323996752718, 0.17288886496648675, 0.5520422301918348, 0.5517176130597079, 0.5488121510019016, 0.5450604647962431, 0.545253015471197, 0.38096400745121173, 0.380995081911723, 0.44102705531198483, 0.44046216601197585, 0.7213170244206416, 0.7213924909675976, 1.0]"
"Row(start=datetime.datetime(2021, 1, 24, 19, 0), end=datetime.datetime(2021, 2, 4, 19, 0))","[0.13191299999999997, 0.09144099999999998, 0.18444900000000003, 0.20625600000000002, 0.08784300000000009, 0.096196, 0.042814000000000005, 0.03593799999999999, 0.12112700000000003, 0.15540500000000002, 0.07397699999999997, 0.13701899999999992, 0.0046249999999999954, 0.07974200000000001, 0.3096269999999998, 0.02547500000000001, 0.069555, -0.012651000000000008, 0.15630700000000006, 0.16276099999999996, 0.11636800000000001, 0.070293]","[0.0945857142857143, 0.09458571428571429, 0.16879, 0.16879, -0.10115, -0.10115, 0.19496000000000002, 0.19496, 0.006390909090909085, 0.006390909090909073, -0.3883, -0.3883, 0.3262, 0.3262, 0.25905, 0.25905, 0.21664285714285714, 0.21664285714285716, 0.30404, 0.30404, 0.014800000000000008, 0.014800000000000008]","[0.8634745773246282, 0.7995190733944827, 0.8641955528791372, 0.7854738618737906, 0.5882041769622068, 0.2827370552430254, 0.3572585802306293, 0.3768754687376989, 0.30270752563123343, 0.0, 0.043982547419334654, 0.08796509483867188, 0.13194764225800654, 0.17593018967734375, 0.2199127370966784, 0.4705456624757085, 0.6681413056839669, 0.7666925867967553, 0.9159455760138892, 0.763524161658741, 0.8533615830523784, 1.0]","[0.3418439869813296, 0.16028358624869124, 0.05815601301867038, 0.2141844528073199, 0.0, 0.07943255695668289, 0.18439707485735465, 0.39858152766467453, 1.0, 0.5177304983726662, 0.5131914951179988, 0.508652491863331, 0.5041134886086636, 0.4995744853539956, 0.49503548209932824, 0.5177304983726662, 0.6099290358013435, 0.8014184723353255, 0.8382979414159833, 0.9333334235153116, 0.980141928397313, 0.8099290358013436]","[0.6289120550135134, 0.28017875071205794, 0.17734706245530096, 0.2280177329438665, 0.0, 0.02086429340540516, 0.08941856274012414, 0.3189269272182951, 1.0, 0.4068554269334719, 0.3964232233798338, 0.3859910198261952, 0.37555881627255716, 0.36512661271891855, 0.35469440916528044, 0.3263783793617459, 0.4128165317972968, 0.5514157020010393, 0.6482860011392928, 0.7540983839553015, 0.8464976412546774, 0.788375518622661]","[0.2631503775871584, 0.2745941943374406, 0.27348958203334084, 0.30348384126640765, 0.30265739269341807, 0.0, 0.0012061157194401227, 0.17281483391988994, 0.5518058455983293, 0.5514813674673233, 0.5485771495289521, 0.544827069796078, 0.5450195380207943, 0.38080087858693934, 0.3808319397413604, 0.4408382074385918, 0.44027356002429424, 0.7210081563263528, 0.7210835905585183, 0.9995717997997665, 1.0, 0.9220398303839104]"
