window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 3, 30, 20, 0), end=datetime.datetime(2016, 4, 10, 20, 0))","[0.3310344283277012, 0.3103442832770117, 0.0, 0.17241392918074708, 0.18620709613176337, 0.20000026308277719, 0.21379343003379347, 0.2275865969848073, 0.24137976393582358, 0.30344888367400363, 0.11034480944256705, 0.04137897468749054, 0.06206911973818002, 0.06206911973818002, 0.02758554465369756, 0.6965524317398848, 1.0, 0.8413795008530459, 0.8427588438564247, 0.8441381868598036, 0.8455175298631847, 0.8468968728665636]","[0.23850909090909092, 0.2385090909090909, 0.4082222222222222, 0.4082222222222222, 0.6362, 0.6362, 0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325]"
"Row(start=datetime.datetime(2016, 3, 31, 20, 0), end=datetime.datetime(2016, 4, 11, 20, 0))","[0.0, 0.17241392918074708, 0.18620709613176337, 0.20000026308277719, 0.21379343003379347, 0.2275865969848073, 0.24137976393582358, 0.30344888367400363, 0.11034480944256705, 0.04137897468749054, 0.06206911973818002, 0.06206911973818002, 0.02758554465369756, 0.6965524317398848, 1.0, 0.8413795008530459, 0.8427588438564247, 0.8441381868598036, 0.8455175298631847, 0.8468968728665636, 0.8482762158699424, 0.4482759527871647]","[0.4082222222222222, 0.4082222222222222, 0.6362, 0.6362, 0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997]"
"Row(start=datetime.datetime(2016, 4, 1, 20, 0), end=datetime.datetime(2016, 4, 12, 20, 0))","[0.15436295907525793, 0.16778581395051093, 0.1812086688257663, 0.19463152370101927, 0.20805437857627465, 0.2684570975050884, 0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0]","[0.6362, 0.6362, 0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535]"
"Row(start=datetime.datetime(2016, 4, 2, 20, 0), end=datetime.datetime(2016, 4, 13, 20, 0))","[0.1812086688257663, 0.19463152370101927, 0.20805437857627465, 0.2684570975050884, 0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374]","[0.3410333333333333, 0.3410333333333333, 0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667]"
"Row(start=datetime.datetime(2016, 4, 3, 20, 0), end=datetime.datetime(2016, 4, 14, 20, 0))","[0.20805437857627465, 0.2684570975050884, 0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073]","[0.42273333333333335, 0.42273333333333335, 0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334]"
"Row(start=datetime.datetime(2016, 4, 4, 20, 0), end=datetime.datetime(2016, 4, 15, 20, 0))","[0.08053738527118882, 0.01342311089491673, 0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073, 0.2013428231288163, 0.4899333068779682]","[0.416475, 0.416475, 0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775]"
"Row(start=datetime.datetime(2016, 4, 5, 20, 0), end=datetime.datetime(2016, 4, 16, 20, 0))","[0.03355777723729182, 0.03355777723729182, 0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073, 0.2013428231288163, 0.4899333068779682, 0.40402718928813736, 0.31812107169830645]","[0.22939333333333334, 0.22939333333333334, 0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062]"
"Row(start=datetime.datetime(2016, 4, 6, 20, 0), end=datetime.datetime(2016, 4, 17, 20, 0))","[0.0, 0.6510067973220344, 0.946307556420333, 0.7919456214237254, 0.7932879325132165, 0.7946302436027077, 0.7959725546922013, 0.7973148657816925, 0.7986571768711838, 0.4093959216067794, 0.5570463011559288, 1.0, 0.9932884445525416, 0.6040271892881374, 0.5637578566033872, 0.3422816472305073, 0.2013428231288163, 0.4899333068779682, 0.40402718928813736, 0.31812107169830645, 0.23221495410847554, 0.14630883651864462]","[0.021214285714285713, 0.02121428571428571, 0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001]"
"Row(start=datetime.datetime(2016, 4, 7, 20, 0), end=datetime.datetime(2016, 4, 18, 20, 0))","[0.9428558972430668, 0.7785706889880709, 0.7799992915569938, 0.7814278941259165, 0.7828564966948419, 0.7842850992637648, 0.7857137018326875, 0.3714284935776917, 0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501]","[0.22295714285714283, 0.22295714285714283, -0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286]"
"Row(start=datetime.datetime(2016, 4, 8, 20, 0), end=datetime.datetime(2016, 4, 19, 20, 0))","[0.7799992915569938, 0.7814278941259165, 0.7828564966948419, 0.7842850992637648, 0.7857137018326875, 0.3714284935776917, 0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501, 0.9357142467888458, 0.7785706889880709]","[-0.2792, -0.2792, 0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385]"
