window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 3, 30, 20, 0), end=datetime.datetime(2016, 4, 10, 20, 0))","[0.12231500252757865, 0.5459427526776289, 0.23269655650702986, 0.29832938548543975, 0.3048925545796512, 0.3114557236738637, 0.31801889276807516, 0.3245820618622877, 0.33114523095649917, 0.1312645199205287, 0.0, 0.23269655650702986, 0.38186124924974973, 0.5817419602857202, 0.5220764245995195, 0.5936754088338476, 0.8920047943192874, 0.9427208126125379, 0.9570406094594041, 0.971360406306269, 0.985680203153135, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.9934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 3, 31, 20, 0), end=datetime.datetime(2016, 4, 11, 20, 0))","[0.2267439217099609, 0.2906977904687976, 0.2970930664522743, 0.3034883424357519, 0.3098836184192285, 0.3162788944027062, 0.3226741703861828, 0.12790662859360705, 0.0, 0.2267439217099609, 0.37209281694435975, 0.5668603587369355, 0.5087211333203959, 0.5784885364974633, 0.869186326966261, 0.9186049735244379, 0.9325584541598518, 0.9465119347952647, 0.9604654154306785, 0.9744188960660914, 0.9883723767015054, 1.0]","[0.0, 0.0, 0.0, 0.9934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 1, 20, 0), end=datetime.datetime(2016, 4, 12, 20, 0))","[0.1910280433806068, 0.19514014560026252, 0.19925224781991757, 0.20336435003957332, 0.20747645225922837, 0.0822427574208361, 0.0, 0.14579420593666886, 0.23925217651714475, 0.364485871355537, 0.32710289703166556, 0.3719626801286302, 0.558878621289582, 0.5906543455474983, 0.5996263021668915, 0.608598258786284, 0.6175702154056772, 0.6265421720250698, 0.635514128644463, 0.6429905809036913, 0.7813086910949967, 1.0]","[0.0, 0.9934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 2, 20, 0), end=datetime.datetime(2016, 4, 13, 20, 0))","[0.19925224781991757, 0.20336435003957332, 0.20747645225922837, 0.0822427574208361, 0.0, 0.14579420593666886, 0.23925217651714475, 0.364485871355537, 0.32710289703166556, 0.3719626801286302, 0.558878621289582, 0.5906543455474983, 0.5996263021668915, 0.608598258786284, 0.6175702154056772, 0.6265421720250698, 0.635514128644463, 0.6429905809036913, 0.7813086910949967, 1.0, 0.9626170256761285, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 3, 20, 0), end=datetime.datetime(2016, 4, 14, 20, 0))","[0.19337957269407688, 0.07665481607210442, 0.0, 0.13588829449464065, 0.222996311905345, 0.3397210685273174, 0.3048780609374652, 0.3466898694197174, 0.520905904241126, 0.5505226434523942, 0.5588850051488449, 0.567247366845295, 0.5756097285417456, 0.5839720902381957, 0.5923344519346464, 0.5993029205363305, 0.7282230787200029, 0.9320555204619638, 0.8972125128721116, 0.9320555204619638, 0.9703832607887319, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 4, 20, 0), end=datetime.datetime(2016, 4, 15, 20, 0))","[0.0, 0.1347148381536994, 0.22107063878401398, 0.336787424805485, 0.3022453022061011, 0.3436960469781037, 0.5164076482387329, 0.5457686336298894, 0.5540587825842901, 0.5623489315386903, 0.570639080493091, 0.5789292294474911, 0.587219378401892, 0.5941276711532741, 0.7219345459768278, 0.9240068032073769, 0.889464680607993, 0.9240068032073769, 0.9620035663143067, 0.9913645517054631, 0.9326425809231503, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 5, 20, 0), end=datetime.datetime(2016, 4, 16, 20, 0))","[0.0, 0.14855876769213788, 0.10421312568750188, 0.15742814984231598, 0.37915762861175056, 0.41685165691917114, 0.4274946617501343, 0.4381376665810966, 0.44878067141205974, 0.4594236762430221, 0.47006668107398525, 0.4789356403087452, 0.6430158267636947, 0.9024389109251317, 0.8580932689204958, 0.9024389109251317, 0.9512196669202749, 0.9889136952276956, 0.9135256386128543, 1.0, 0.9365853555386482, 0.8731707110772964]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 6, 20, 0), end=datetime.datetime(2016, 4, 17, 20, 0))","[0.0, 0.05940589852430666, 0.30693071176697484, 0.34900994890287296, 0.36089112860773465, 0.37277230831259545, 0.38465348801745713, 0.39653466772231794, 0.4084158474271796, 0.418316594456507, 0.6014853717182619, 0.8910889499807141, 0.8415842706018489, 0.8910889499807141, 0.9455447110484141, 0.9876239481843122, 0.903465473912516, 1.0, 0.9292078883048811, 0.8584157766097622, 0.7876236649146441, 0.7168315532195252]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 7, 20, 0), end=datetime.datetime(2016, 4, 18, 20, 0))","[0.0, 0.05000002804924775, 0.0641176632283903, 0.0782352984075318, 0.09235293358667435, 0.10647056876581586, 0.1205882039449584, 0.13235261943509938, 0.3500001963447342, 0.6941173434669655, 0.6352941440463509, 0.6941173434669655, 0.7588235921100832, 0.808823620159331, 0.7088235640608355, 0.8235292797682459, 0.7394116053201567, 0.6552939308720676, 0.5711762564239794, 0.4870585819758902, 0.402940907527801, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 8, 20, 0), end=datetime.datetime(2016, 4, 19, 20, 0))","[0.0, 0.009995828616926699, 0.01999165723385414, 0.02998748585078084, 0.03998331446770828, 0.04831297304902018, 0.20241582739196542, 0.446064000979969, 0.40441491367556665, 0.446064000979969, 0.4918785133734095, 0.5272804560415583, 0.4564765707052607, 0.5376926285679285, 0.4781340802155929, 0.4185755318632573, 0.3590169835109224, 0.2994584351585868, 0.23989988680625116, 0.6626406848789785, 0.8500629679450142, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 9, 20, 0), end=datetime.datetime(2016, 4, 20, 20, 0))","[0.0, 0.008224804122539798, 0.016449608245080204, 0.023303448268198475, 0.15010292035485565, 0.35058239828252324, 0.31631254451760443, 0.35058239828252324, 0.3882796622959968, 0.4174092177497428, 0.35915010684225074, 0.4259765994848066, 0.37697041772702183, 0.32796423596923713, 0.278958054211453, 0.22995187245366822, 0.18094569069588348, 0.5287868144288905, 0.6830023002573482, 0.806374035270787, 0.7001370637274758, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 10, 20, 0), end=datetime.datetime(2016, 4, 21, 20, 0))","[0.0, 0.0068374368496471405, 0.13333344201416003, 0.33333311597167997, 0.2991452796384841, 0.33333311597167997, 0.3709401597934195, 0.4, 0.34188031958683895, 0.40854687757267893, 0.3596579814384015, 0.310769085304124, 0.2618801891698472, 0.2129912930355697, 0.16410239690129227, 0.5111110386572266, 0.6649574433052883, 0.7880339149387774, 0.6820511984506461, 0.9811964780891302, 1.0, 0.841025599225323]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 11, 20, 0), end=datetime.datetime(2016, 4, 22, 20, 0))","[0.0, 0.21626584139461388, 0.17929747517802508, 0.21626584139461388, 0.25693150256064207, 0.28835480775264966, 0.22550819736863445, 0.29759681116683906, 0.24473173369886725, 0.1918666562308954, 0.13900157876292424, 0.08613650129495239, 0.033271423826980555, 0.40850261493626777, 0.5748614968703264, 0.707947897297911, 0.5933455036987052, 0.9168205590329707, 0.9371533896159848, 0.765249446657345, 0.8280960570413602, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 12, 20, 0), end=datetime.datetime(2016, 4, 23, 20, 0))","[0.15105175842542762, 0.18929244679209942, 0.23135767809726163, 0.26386246379047323, 0.19885289240405, 0.2734225447087137, 0.2187380357669708, 0.16405352682522792, 0.10936901788348574, 0.05468450894174287, 0.0, 0.3881453391961494, 0.5602297132741582, 0.6978964831491448, 0.579349875110639, 0.9139578129609957, 0.9349904286135767, 0.7571701518621079, 0.8221797232485311, 1.0, 0.9908221180900115, 0.981644236180023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 13, 20, 0), end=datetime.datetime(2016, 4, 24, 20, 0))","[0.23135767809726163, 0.26386246379047323, 0.19885289240405, 0.2734225447087137, 0.2187380357669708, 0.16405352682522792, 0.10936901788348574, 0.05468450894174287, 0.0, 0.3881453391961494, 0.5602297132741582, 0.6978964831491448, 0.579349875110639, 0.9139578129609957, 0.9349904286135767, 0.7571701518621079, 0.8221797232485311, 1.0, 0.9908221180900115, 0.981644236180023, 0.9724663542700346, 0.963288472360046]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 14, 20, 0), end=datetime.datetime(2016, 4, 25, 20, 0))","[0.19885289240405, 0.2734225447087137, 0.2187380357669708, 0.16405352682522792, 0.10936901788348574, 0.05468450894174287, 0.0, 0.3881453391961494, 0.5602297132741582, 0.6978964831491448, 0.579349875110639, 0.9139578129609957, 0.9349904286135767, 0.7571701518621079, 0.8221797232485311, 1.0, 0.9908221180900115, 0.981644236180023, 0.9724663542700346, 0.963288472360046, 0.9541105904500575, 0.7609943301068881]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 15, 20, 0), end=datetime.datetime(2016, 4, 26, 20, 0))","[0.2187380357669708, 0.16405352682522792, 0.10936901788348574, 0.05468450894174287, 0.0, 0.3881453391961494, 0.5602297132741582, 0.6978964831491448, 0.579349875110639, 0.9139578129609957, 0.9349904286135767, 0.7571701518621079, 0.8221797232485311, 1.0, 0.9908221180900115, 0.981644236180023, 0.9724663542700346, 0.963288472360046, 0.9541105904500575, 0.7609943301068881, 0.8374757068402316, 0.8891010190636343]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 16, 20, 0), end=datetime.datetime(2016, 4, 27, 20, 0))","[0.08242076052635143, 0.041210380263175715, 0.0, 0.29250728104175305, 0.42219048804760345, 0.5259365039841322, 0.43659948897351947, 0.6887608528541107, 0.7046110836735092, 0.5706052863235144, 0.619596659007041, 0.7536024563570358, 0.7466859820055137, 0.7397695076539916, 0.7328530333024694, 0.7259365589509473, 0.7190200845994252, 0.5734871964423278, 0.6311237498141434, 0.6700287119158985, 0.7103749039111362, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 17, 20, 0), end=datetime.datetime(2016, 4, 28, 20, 0))","[0.0, 0.29250728104175305, 0.42219048804760345, 0.5259365039841322, 0.43659948897351947, 0.6887608528541107, 0.7046110836735092, 0.5706052863235144, 0.619596659007041, 0.7536024563570358, 0.7466859820055137, 0.7397695076539916, 0.7328530333024694, 0.7259365589509473, 0.7190200845994252, 0.5734871964423278, 0.6311237498141434, 0.6700287119158985, 0.7103749039111362, 1.0, 0.9337177162717438, 0.8847263435882172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 18, 20, 0), end=datetime.datetime(2016, 4, 29, 20, 0))","[0.0, 0.1795505504677049, 0.02493728577992517, 0.4613464460039365, 0.4887780311397388, 0.256857658459832, 0.3416457619266417, 0.5735661346065485, 0.5615959710691716, 0.5496258075317947, 0.5376556439944178, 0.5256854804570409, 0.513715316919664, 0.2618453058751119, 0.361595400291287, 0.42892721345285423, 0.49875332597029864, 1.0, 0.8852869633379852, 0.8004988598711754, 0.9077309010585076, 0.44389015569869394]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 19, 20, 0), end=datetime.datetime(2016, 4, 30, 20, 0))","[0.0, 0.4475703499472674, 0.4757034994726742, 0.2378517497363371, 0.3248083138939865, 0.5626600636303236, 0.5503837624624018, 0.5381074612944801, 0.5258311601265582, 0.5135548589586364, 0.5012785577907146, 0.24296695652513262, 0.3452681654232314, 0.41432199363306516, 0.48593391305026523, 1.0, 0.8823531707355147, 0.7953966065778652, 0.9053711134721258, 0.4296676139994517, 0.4168798897152448, 0.40409216543103604]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 20, 20, 0), end=datetime.datetime(2016, 5, 1, 20, 0))","[0.3120806872600613, 0.0, 0.1140940284617423, 0.42617471572180354, 0.4100672180483852, 0.3939597203749669, 0.37785222270154856, 0.3617447250281302, 0.34563722735471186, 0.0067115640389201585, 0.14093900451747274, 0.23154319889296957, 0.32550381533790157, 1.0, 0.8456378674046869, 0.7315438389429446, 0.8758392655298526, 0.25167789100973004, 0.23489936494241564, 0.2181208388750989, 0.2013423128077845, 0.18456378674046775]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 21, 20, 0), end=datetime.datetime(2016, 5, 2, 20, 0))","[0.10810803844597433, 0.42229742791379815, 0.4060810932719545, 0.3898647586301109, 0.3736484239882672, 0.35743208934642356, 0.34121575470457993, 0.0, 0.1351344036827305, 0.2263508027620479, 0.32094630296438154, 1.0, 0.8445948558275963, 0.7297299038850642, 0.8750003221873687, 0.24662154325172111, 0.22972964613517016, 0.2128377490186168, 0.19594585190206584, 0.17905395478551248, 0.1621620576689615, 0.20608135102184946]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 22, 20, 0), end=datetime.datetime(2016, 5, 3, 20, 0))","[0.5774039700362855, 0.5658654273790736, 0.5543268847218618, 0.54278834206465, 0.5312497994074381, 0.28846173244115875, 0.3846150319251659, 0.4495189904990193, 0.5168273088318498, 1.0, 0.8894232929458359, 0.807692484037417, 0.911057945803787, 0.46394239806917625, 0.4519231668590834, 0.43990393564898883, 0.4278847044388959, 0.4158654732288014, 0.4038462420187085, 0.43509649992343097, 0.2500002292486422, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 23, 20, 0), end=datetime.datetime(2016, 5, 4, 20, 0))","[0.6689285776323197, 0.6603570896995347, 0.6517856017667497, 0.47142877092165464, 0.5428569287670048, 0.5910712929404605, 0.6410717527476888, 1.0, 0.9178573119396951, 0.8571430031134059, 0.9339287666641803, 0.6017858231554152, 0.5928572523350549, 0.5839286815146933, 0.575000110694333, 0.5660715398739714, 0.5571429690536112, 0.5803574439213995, 0.4428573715443358, 0.25714293499381646, 0.4696426752878819, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0]"
