window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 3, 30, 20, 0), end=datetime.datetime(2016, 4, 10, 20, 0))","[0.31865551106792966, 0.8342984270004616, 0.3534187743280956, 0.18539965044454704, 0.14831972035563928, 0.1112397902667274, 0.07415986017781964, 0.03707993008890776, 0.0, 0.38817982745009255, 0.26651172124676525, 0.04634880754205226, 0.09849259736321668, 0.110080351783272, 0.06373154424121973, 0.2317484579865993, 0.4634991261113676, 0.8285056548595185, 0.8713792411446378, 0.9142528274297572, 0.9571264137148806, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.9934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 3, 31, 20, 0), end=datetime.datetime(2016, 4, 11, 20, 0))","[0.3388893716131302, 0.17777768358768192, 0.14222214687014711, 0.10666661015260837, 0.07111107343507356, 0.0355555367175348, 0.0, 0.3722213627375975, 0.25555515524764816, 0.044443361258342, 0.09444346722219986, 0.10555483735607459, 0.061111476097732584, 0.22222104484602392, 0.4444442089692048, 0.7944449507162097, 0.835555960572967, 0.8766669704297243, 0.9177779802864855, 0.9588889901432427, 1.0, 0.4111100985675806]","[0.0, 0.0, 0.0, 0.9934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 1, 20, 0), end=datetime.datetime(2016, 4, 12, 20, 0))","[0.14222214687014711, 0.10666661015260837, 0.07111107343507356, 0.0355555367175348, 0.0, 0.3722213627375975, 0.25555515524764816, 0.044443361258342, 0.09444346722219986, 0.10555483735607459, 0.061111476097732584, 0.22222104484602392, 0.4444442089692048, 0.7944449507162097, 0.835555960572967, 0.8766669704297243, 0.9177779802864855, 0.9588889901432427, 1.0, 0.4111100985675806, 0.43888746426368896, 0.7999995761445686]","[0.0, 0.9934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 2, 20, 0), end=datetime.datetime(2016, 4, 13, 20, 0))","[0.06243898808139334, 0.031219494040694934, 0.0, 0.3268284967295937, 0.22438988081392644, 0.039023437136556906, 0.0829259669330753, 0.09268229142437127, 0.05365885428781436, 0.1951209073400385, 0.39024367550870404, 0.6975613840843328, 0.7336588542878136, 0.7697563244912946, 0.805853794694779, 0.8419512648982599, 0.8780487351017408, 0.36097470203481613, 0.38536458284874253, 0.7024386159156673, 0.829268973473888, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 3, 20, 0), end=datetime.datetime(2016, 4, 14, 20, 0))","[0.0, 0.3073385665839566, 0.2110087248063779, 0.036696332641554995, 0.07798080052635815, 0.08715532115196842, 0.05045898851041342, 0.1834851629295471, 0.36697207571998025, 0.6559633509136024, 0.6899082022979167, 0.723853053682231, 0.7577979050665485, 0.7917427564508628, 0.8256876078351771, 0.33944851384314945, 0.3623839404767321, 0.6605497362959645, 0.7798167545680118, 0.9403664908639763, 1.0, 0.71559511018874]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 4, 20, 0), end=datetime.datetime(2016, 4, 15, 20, 0))","[0.18095269235589997, 0.0, 0.042857168807436105, 0.052381185933591645, 0.014286933949497095, 0.15238064097743337, 0.34285735045948884, 0.6428575321115416, 0.6780954872180527, 0.7133334423245636, 0.748571397431078, 0.783809352537589, 0.8190473076441, 0.31428529908102226, 0.33809443363614733, 0.6476186324143556, 0.7714290385338499, 0.9380947969402528, 1.0, 0.7047609186507612, 0.5523802776733279, 0.06190520305974718]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 5, 20, 0), end=datetime.datetime(2016, 4, 16, 20, 0))","[0.07882609461844708, 0.08799220417399828, 0.05132951420843197, 0.18423373212232816, 0.36755242672007515, 0.6562787588217032, 0.6901924900489228, 0.7241062212761423, 0.7580199525033651, 0.7919336837305847, 0.8258474149578042, 0.34005409805342157, 0.36296849781398033, 0.6608609394711595, 0.7800186154366867, 0.9404211620172365, 1.0, 0.7158558485478282, 0.569201592172286, 0.09715831372954949, 0.04857915686477637, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 6, 20, 0), end=datetime.datetime(2016, 4, 17, 20, 0))","[0.13533856151828225, 0.25647351191766204, 0.42355850986531035, 0.6867168239286346, 0.7176273414016666, 0.7485378588746986, 0.7794483763477336, 0.8103588938207655, 0.8412694112937975, 0.398495282140973, 0.4193805085242707, 0.6908932318290407, 0.7994989585272022, 0.9456971366509193, 1.0, 0.7410180938370818, 0.6073507328552167, 0.17710901428487758, 0.13283176071365965, 0.08855450714243879, 0.04427725357122088, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 7, 20, 0), end=datetime.datetime(2016, 4, 18, 20, 0))","[0.44799957275390623, 0.7, 0.7295999145507807, 0.7591998291015614, 0.7887997436523448, 0.8183996582031255, 0.8479995727539062, 0.4239990234375, 0.44399871826171877, 0.7039993286132813, 0.8080001831054687, 0.9479995727539062, 1.0, 0.7519989013671875, 0.6239990234375, 0.21199951171875, 0.16959960937500113, 0.12719970703124944, 0.08479980468750056, 0.042399902343748866, 0.0, 0.479998779296875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 8, 20, 0), end=datetime.datetime(2016, 4, 19, 20, 0))","[0.7295999145507807, 0.7591998291015614, 0.7887997436523448, 0.8183996582031255, 0.8479995727539062, 0.4239990234375, 0.44399871826171877, 0.7039993286132813, 0.8080001831054687, 0.9479995727539062, 1.0, 0.7519989013671875, 0.6239990234375, 0.21199951171875, 0.16959960937500113, 0.12719970703124944, 0.08479980468750056, 0.042399902343748866, 0.0, 0.479998779296875, 0.5080001831054688, 0.5080001831054688]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
