window,TwitterScore,NewsScore,StockPrice_IXIC,StockPrice_COG,StockPrice_DVN,StockPrice_HFC
"Row(start=datetime.datetime(2021, 1, 15, 19, 0), end=datetime.datetime(2021, 1, 26, 19, 0))","[0.37922900000000004, 0.2271149999999999, 0.10155937500000001, 0.042077499999999976, 0.1816019999999999, 0.20294499999999993, 0.100201, 0.076623, 0.23861399999999974, 0.24232899999999996, 0.147309, 0.27872800000000003, -0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655]","[0.9628, 0.9628, 0.3366857142857143, 0.33668571428571425, 0.5279111111111112, 0.5279111111111112, 0.43371111111111116, 0.4337111111111111, 0.1399, 0.13989999999999997, 0.418475, 0.418475, 0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715]",,,,
"Row(start=datetime.datetime(2021, 1, 16, 19, 0), end=datetime.datetime(2021, 1, 27, 19, 0))","[0.10155937500000001, 0.042077499999999976, 0.1816019999999999, 0.20294499999999993, 0.100201, 0.076623, 0.23861399999999974, 0.24232899999999996, 0.147309, 0.27872800000000003, -0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997]","[0.3366857142857143, 0.33668571428571425, 0.5279111111111112, 0.5279111111111112, 0.43371111111111116, 0.4337111111111111, 0.1399, 0.13989999999999997, 0.418475, 0.418475, 0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157]",,,,
"Row(start=datetime.datetime(2021, 1, 17, 19, 0), end=datetime.datetime(2021, 1, 28, 19, 0))","[0.1816019999999999, 0.20294499999999993, 0.100201, 0.076623, 0.23861399999999974, 0.24232899999999996, 0.147309, 0.27872800000000003, -0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976]","[0.5279111111111112, 0.5279111111111112, 0.43371111111111116, 0.4337111111111111, 0.1399, 0.13989999999999997, 0.418475, 0.418475, 0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999]",,,,
"Row(start=datetime.datetime(2021, 1, 18, 19, 0), end=datetime.datetime(2021, 1, 29, 19, 0))","[0.100201, 0.076623, 0.23861399999999974, 0.24232899999999996, 0.147309, 0.27872800000000003, -0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999]","[0.43371111111111116, 0.4337111111111111, 0.1399, 0.13989999999999997, 0.418475, 0.418475, 0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727]","[0.10153365702723696, 0.2070101359450466, 0.4449203604317766, 0.6326367201859056, 0.7377551966296624, 0.7531876604218676, 0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0]","[0.8380950477927419, 0.4857148566217743, 0.40000036330476546, 0.20952330781722864, 0.13333284892697939, 0.24761944552426693, 0.0, 0.41904843215828463, 0.44000058128762337, 0.46095273041696555, 0.48190487954630434, 0.5028570286756465, 0.5238091778049853, 0.5619053155120236, 0.695238164439003, 0.2761897322807183, 0.14285688335373894, 0.9047614722562316, 1.0, 0.26666569785395877, 0.1904752389637095, 0.21904734224398822]","[0.9338624458764694, 0.9365080085921499, 1.0, 0.9285713204451085, 0.9126984487405194, 0.510581998567975, 0.3544973304692834, 0.3544973304692834, 0.3402116954762036, 0.3259260604831239, 0.31164042549004506, 0.29735479049696534, 0.2830691555038856, 0.24074116123198552, 0.3227515870601052, 0.10317492755356343, 0.0, 0.1984126623705917, 0.25396847022089414, 0.19576760424440498, 0.1455029218254635, 0.0]","[0.2065864057444313, 0.49700591963324087, 0.5568858137811072, 0.42514970401833796, 0.3652692388080328, 0.2455088794498613, 0.0, 0.35928107807451454, 0.3275446256742818, 0.295808173274049, 0.2640717208738173, 0.23233526847358457, 0.20059881607335184, 0.6796402535060379, 0.7634727905879773, 0.6317361097627693, 0.4880236785329634, 0.9011976321467037, 1.0, 0.5628739745146255, 0.479041437432686, 0.17964025350603785]"
"Row(start=datetime.datetime(2021, 1, 19, 19, 0), end=datetime.datetime(2021, 1, 30, 19, 0))","[0.23861399999999974, 0.24232899999999996, 0.147309, 0.27872800000000003, -0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999, 0.24967700000000004, 0.164187]","[0.1399, 0.13989999999999997, 0.418475, 0.418475, 0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727, 0.0, 0.0]","[0.4449203604317766, 0.6326367201859056, 0.7377551966296624, 0.7531876604218676, 0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406]","[0.40000036330476546, 0.20952330781722864, 0.13333284892697939, 0.24761944552426693, 0.0, 0.41904843215828463, 0.44000058128762337, 0.46095273041696555, 0.48190487954630434, 0.5028570286756465, 0.5238091778049853, 0.5619053155120236, 0.695238164439003, 0.2761897322807183, 0.14285688335373894, 0.9047614722562316, 1.0, 0.26666569785395877, 0.1904752389637095, 0.21904734224398822, 0.29904741490493997, 0.37904748756589507]","[1.0, 0.9285713204451085, 0.9126984487405194, 0.510581998567975, 0.3544973304692834, 0.3544973304692834, 0.3402116954762036, 0.3259260604831239, 0.31164042549004506, 0.29735479049696534, 0.2830691555038856, 0.24074116123198552, 0.3227515870601052, 0.10317492755356343, 0.0, 0.1984126623705917, 0.25396847022089414, 0.19576760424440498, 0.1455029218254635, 0.0, 0.017989422795032028, 0.035978845590064056]","[0.5568858137811072, 0.42514970401833796, 0.3652692388080328, 0.2455088794498613, 0.0, 0.35928107807451454, 0.3275446256742818, 0.295808173274049, 0.2640717208738173, 0.23233526847358457, 0.20059881607335184, 0.6796402535060379, 0.7634727905879773, 0.6317361097627693, 0.4880236785329634, 0.9011976321467037, 1.0, 0.5628739745146255, 0.479041437432686, 0.17964025350603785, 0.20239480744345625, 0.22514936138087466]"
"Row(start=datetime.datetime(2021, 1, 20, 19, 0), end=datetime.datetime(2021, 1, 31, 19, 0))","[0.147309, 0.27872800000000003, -0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999, 0.24967700000000004, 0.164187, 0.17288299999999995, 0.17919393939393938]","[0.418475, 0.418475, 0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727, 0.0, 0.0, 0.0, 0.0]","[0.7377551966296624, 0.7531876604218676, 0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406, 0.15268262121739962, 0.20357682828986812]","[0.13333284892697939, 0.24761944552426693, 0.0, 0.41904843215828463, 0.44000058128762337, 0.46095273041696555, 0.48190487954630434, 0.5028570286756465, 0.5238091778049853, 0.5619053155120236, 0.695238164439003, 0.2761897322807183, 0.14285688335373894, 0.9047614722562316, 1.0, 0.26666569785395877, 0.1904752389637095, 0.21904734224398822, 0.29904741490493997, 0.37904748756589507, 0.45904756022684684, 0.539047632887802]","[1.0, 0.5594202546005792, 0.3884057554370481, 0.3884057554370481, 0.3727536690192469, 0.35710158260144564, 0.34144949618364545, 0.3257974097658442, 0.31014532334804296, 0.26376856623805695, 0.3536234640318356, 0.11304382920332554, 0.0, 0.21739125627351705, 0.27826109551446987, 0.2144931927018776, 0.15942058631331152, 0.0, 0.019710149414471537, 0.03942029882894307, 0.05913044824341564, 0.07884059765788717]","[0.3652692388080328, 0.2455088794498613, 0.0, 0.35928107807451454, 0.3275446256742818, 0.295808173274049, 0.2640717208738173, 0.23233526847358457, 0.20059881607335184, 0.6796402535060379, 0.7634727905879773, 0.6317361097627693, 0.4880236785329634, 0.9011976321467037, 1.0, 0.5628739745146255, 0.479041437432686, 0.17964025350603785, 0.20239480744345625, 0.22514936138087466, 0.24790391531829306, 0.27065846925571146]"
"Row(start=datetime.datetime(2021, 1, 21, 19, 0), end=datetime.datetime(2021, 2, 1, 19, 0))","[-0.029679000000000014, 0.11709199999999996, -0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999, 0.24967700000000004, 0.164187, 0.17288299999999995, 0.17919393939393938, 0.23034791666666674, 0.14831199999999997]","[0.4168888888888889, 0.41688888888888886, 0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727, 0.0, 0.0, 0.0, 0.0, 0.23541999999999996, 0.23542000000000002]","[0.6613744098552967, 0.773071181759774, 0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406, 0.15268262121739962, 0.20357682828986812, 0.2544710353623337, 0.5444897985277148]","[0.0, 0.41904843215828463, 0.44000058128762337, 0.46095273041696555, 0.48190487954630434, 0.5028570286756465, 0.5238091778049853, 0.5619053155120236, 0.695238164439003, 0.2761897322807183, 0.14285688335373894, 0.9047614722562316, 1.0, 0.26666569785395877, 0.1904752389637095, 0.21904734224398822, 0.29904741490493997, 0.37904748756589507, 0.45904756022684684, 0.539047632887802, 0.6190477055487537, 0.4857148566217743]","[1.0, 1.0, 0.959701713482106, 0.919403426964212, 0.8791051404463206, 0.8388068539284266, 0.7985085674105326, 0.6791057098040555, 0.9104485684923123, 0.29104571088583525, 0.0, 0.5597014288032385, 0.7164185690332021, 0.5522399956728812, 0.41044856849231226, 0.0, 0.0507462856524692, 0.1014925713049384, 0.15223885695741027, 0.20298514260987946, 0.2537314282623487, 0.22388142555789942]","[0.0, 0.35928107807451454, 0.3275446256742818, 0.295808173274049, 0.2640717208738173, 0.23233526847358457, 0.20059881607335184, 0.6796402535060379, 0.7634727905879773, 0.6317361097627693, 0.4880236785329634, 0.9011976321467037, 1.0, 0.5628739745146255, 0.479041437432686, 0.17964025350603785, 0.20239480744345625, 0.22514936138087466, 0.24790391531829306, 0.27065846925571146, 0.2934130231931299, 0.04491006337650946]"
"Row(start=datetime.datetime(2021, 1, 22, 19, 0), end=datetime.datetime(2021, 2, 2, 19, 0))","[-0.5247779999999992, -0.523429999999999, -0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999, 0.24967700000000004, 0.164187, 0.17288299999999995, 0.17919393939393938, 0.23034791666666674, 0.14831199999999997, -0.06458200000000008, -0.11231600000000018]","[0.4760333333333333, 0.4760333333333333, 0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727, 0.0, 0.0, 0.0, 0.0, 0.23541999999999996, 0.23542000000000002, 0.11819230769230771, 0.11819230769230771]","[0.818290090683304, 0.8635089996068371, 0.9087279085303673, 0.9539468174539004, 0.9991657263774305, 0.9251599024443258, 1.0, 0.9089075490575266, 0.680637819764933, 0.32716791274968277, 0.4134001604618232, 0.4360997548322343, 0.35027665280472564, 0.0, 0.050894207072465544, 0.10178841414493406, 0.15268262121739962, 0.20357682828986812, 0.2544710353623337, 0.5444897985277148, 0.7731367089983282, 0.8871748810121242]","[0.3466675426345566, 0.3711117092182206, 0.39555587580188073, 0.4200000423855447, 0.4444442089692048, 0.48888968950470374, 0.6444446328246362, 0.15555494331993244, 0.0, 0.8888884179384096, 1.0, 0.1444435731860577, 0.05555473139221674, 0.08888884179384096, 0.18222223164123022, 0.27555562148862345, 0.3688890113360127, 0.46222240118340596, 0.5555557910307952, 0.4000008477108628, 0.9333338984739086, 0.022222740267749477]","[1.0, 0.95800957114927, 0.9160191422985428, 0.8740287134478129, 0.8320382845970828, 0.7076216497937072, 0.9486786943298376, 0.303266845101097, 0.0, 0.5832035318270528, 0.7465012919835325, 0.5754287899197108, 0.42768347990447264, 0.0, 0.05287714394959803, 0.10575428789919605, 0.15863143184879686, 0.21150857579839488, 0.2643857197479929, 0.23328230262878838, 0.6298608822507777, 0.3888023545513685]","[0.29592455271486195, 0.26269579468561294, 0.22946703665636503, 0.19623827862711601, 0.163009520597867, 0.6645763564146396, 0.7523508516399907, 0.6144196728329623, 0.46394962208793056, 0.8965517653734367, 1.0, 0.5423195149236553, 0.45454501969830413, 0.14106544835540535, 0.16488996274392684, 0.1887144771324483, 0.21253899152096978, 0.23636350590949123, 0.2601880202980127, 0.0, 0.22570507611754767, 0.07210015790930709]"
"Row(start=datetime.datetime(2021, 1, 23, 19, 0), end=datetime.datetime(2021, 2, 3, 19, 0))","[-0.214728, -0.07248400000000012, 0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999, 0.24967700000000004, 0.164187, 0.17288299999999995, 0.17919393939393938, 0.23034791666666674, 0.14831199999999997, -0.06458200000000008, -0.11231600000000018, -0.10782800000000003, 0.006783999999999995]","[0.1779, 0.1779, 0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727, 0.0, 0.0, 0.0, 0.0, 0.23541999999999996, 0.23542000000000002, 0.11819230769230771, 0.11819230769230771, 0.33106, 0.33106]","[0.8573856765013671, 0.900049761596715, 0.9427138466920602, 0.8728892789393844, 0.943500984676444, 0.8575551675156297, 0.6421824531562423, 0.30868324783386264, 0.39004345846113014, 0.4114605481013689, 0.33048636683042754, 0.0, 0.04801873448719808, 0.09603746897439898, 0.14405620346159706, 0.19207493794879796, 0.24009367243599603, 0.5137266610571776, 0.7294552462294281, 0.8370503738151462, 1.0, 0.8335911888799419]","[0.4718445379396159, 0.49320353471008405, 0.5145625314805488, 0.553398417824657, 0.6893203164350686, 0.262134825634796, 0.12621292702438447, 0.9029121359367129, 1.0, 0.25242585404876894, 0.17475593315753607, 0.2038828479156173, 0.2854363574412596, 0.3669898669669054, 0.44854337649254766, 0.5300968860181934, 0.6116503955438357, 0.47572849693342417, 0.9417480222808213, 0.1456308701964386, 0.0, 0.7961171520843827]","[0.6770114287342899, 0.6459771425314224, 0.6149428563285547, 0.5229890097362381, 0.7011494504868119, 0.22413846022304995, 0.0, 0.4310340669676036, 0.5517241757302178, 0.4252879107098619, 0.31609230681536665, 0.0, 0.03908043961055007, 0.07816087922110014, 0.11724131883165224, 0.1563217584422023, 0.19540219805275238, 0.1724142844928321, 0.46551758157196066, 0.2873560446450691, 0.41379340584174285, 1.0]","[0.22946703665636503, 0.19623827862711601, 0.163009520597867, 0.6645763564146396, 0.7523508516399907, 0.6144196728329623, 0.46394962208793056, 0.8965517653734367, 1.0, 0.5423195149236553, 0.45454501969830413, 0.14106544835540535, 0.16488996274392684, 0.1887144771324483, 0.21253899152096978, 0.23636350590949123, 0.2601880202980127, 0.0, 0.22570507611754767, 0.07210015790930709, 0.0877744952253511, 0.4420061477603007]"
"Row(start=datetime.datetime(2021, 1, 24, 19, 0), end=datetime.datetime(2021, 2, 4, 19, 0))","[0.04265900000000002, -0.0011079999999999935, 0.2611059999999999, 0.068655, 0.13977899999999985, 0.07767899999999997, -0.21238200000000018, -0.180976, -0.05896799999999999, -0.1390149999999999, 0.24967700000000004, 0.164187, 0.17288299999999995, 0.17919393939393938, 0.23034791666666674, 0.14831199999999997, -0.06458200000000008, -0.11231600000000018, -0.10782800000000003, 0.006783999999999995, 0.3155120000000001, 0.13303099999999998]","[0.4629818181818182, 0.4629818181818182, 0.36715, 0.36715, 0.1956384615384616, 0.19563846153846157, 0.40951249999999995, 0.4095124999999999, 0.15632727272727276, 0.1563272727272727, 0.0, 0.0, 0.0, 0.0, 0.23541999999999996, 0.23542000000000002, 0.11819230769230771, 0.11819230769230771, 0.33106, 0.33106, 0.3277666666666666, 0.32776666666666665]","[0.8634745773246282, 0.7995190733944827, 0.8641955528791372, 0.7854738618737906, 0.5882041769622068, 0.2827370552430254, 0.3572585802306293, 0.3768754687376989, 0.30270752563123343, 0.0, 0.043982547419334654, 0.08796509483867188, 0.13194764225800654, 0.17593018967734375, 0.2199127370966784, 0.4705456624757085, 0.6681413056839669, 0.7666925867967553, 0.9159455760138892, 0.763524161658741, 0.8533615830523784, 1.0]","[0.5145625314805488, 0.553398417824657, 0.6893203164350686, 0.262134825634796, 0.12621292702438447, 0.9029121359367129, 1.0, 0.25242585404876894, 0.17475593315753607, 0.2038828479156173, 0.2854363574412596, 0.3669898669669054, 0.44854337649254766, 0.5300968860181934, 0.6116503955438357, 0.47572849693342417, 0.9417480222808213, 0.1456308701964386, 0.0, 0.7961171520843827, 0.8446601582175343, 0.7281562027791769]","[0.5661380253404716, 0.4814820795131723, 0.6455028484062549, 0.2063497509852105, 0.0, 0.39682512450739477, 0.507936684142274, 0.39153501092435705, 0.29100569681250976, 0.0, 0.03597882743552573, 0.07195765487105146, 0.10793648230657908, 0.1439153097421048, 0.17989413717763056, 0.15873065531004485, 0.4285718610764907, 0.2645500830049298, 0.38095276540132506, 0.9206351769342167, 1.0, 0.8941795631266367]","[0.163009520597867, 0.6645763564146396, 0.7523508516399907, 0.6144196728329623, 0.46394962208793056, 0.8965517653734367, 1.0, 0.5423195149236553, 0.45454501969830413, 0.14106544835540535, 0.16488996274392684, 0.1887144771324483, 0.21253899152096978, 0.23636350590949123, 0.2601880202980127, 0.0, 0.22570507611754767, 0.07210015790930709, 0.0877744952253511, 0.4420061477603007, 0.5517241173132816, 0.6520374844766362]"
