window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 3, 30, 20, 0), end=datetime.datetime(2016, 4, 10, 20, 0))","[0.0, 0.5000001528324282, 0.37179483652584994, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.4102566453832227, 0.7307694776523839, 0.9102564925507947, 1.0, 0.8589744882941058, 0.8589744882941058, 0.871794989358278, 0.8974359914866225, 0.8461539872299336, 0.8512821876556023, 0.8564103880812715, 0.8615385885069402, 0.8666667889326094]","[0.0, 0.0, 0.0, 0.0, -0.1307, 0.0, 0.0, 0.0, 0.9878, 0.0, -0.1027, 0.0, 0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 3, 31, 20, 0), end=datetime.datetime(2016, 4, 11, 20, 0))","[0.0, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.061224916784618985, 0.5714289884873023, 0.8571429961624341, 1.0, 0.7755104225409678, 0.7755104225409678, 0.7959185659463344, 0.8367348527570675, 0.7551022791356012, 0.7632655364977475, 0.7714287938598947, 0.779592051222041, 0.7877553085841882, 0.7959185659463344, 0.8979592829731672]","[0.0, 0.0, -0.1307, 0.0, 0.0, 0.0, 0.9878, 0.0, -0.1027, 0.0, 0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 1, 20, 0), end=datetime.datetime(2016, 4, 12, 20, 0))","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5434784974854604, 0.8478261658284868, 1.0, 0.7608696891590506, 0.7608696891590506, 0.7826088083264097, 0.8260870466611278, 0.7391305699916916, 0.7478262176586349, 0.7565218653255791, 0.7652175129925223, 0.7739131606594665, 0.7826088083264097, 0.8913044041632049, 1.0, 0.8913044041632049]","[-0.1307, 0.0, 0.0, 0.0, 0.9878, 0.0, -0.1027, 0.0, 0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07]"
"Row(start=datetime.datetime(2016, 4, 2, 20, 0), end=datetime.datetime(2016, 4, 13, 20, 0))","[0.0, 0.0, 0.0, 0.0, 0.5434784974854604, 0.8478261658284868, 1.0, 0.7608696891590506, 0.7608696891590506, 0.7826088083264097, 0.8260870466611278, 0.7391305699916916, 0.7478262176586349, 0.7565218653255791, 0.7652175129925223, 0.7739131606594665, 0.7826088083264097, 0.8913044041632049, 1.0, 0.8913044041632049, 0.8695652849958458, 0.7826088083264097]","[0.0, 0.0, 0.9878, 0.0, -0.1027, 0.0, 0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 3, 20, 0), end=datetime.datetime(2016, 4, 14, 20, 0))","[0.0, 0.0, 0.5434784974854604, 0.8478261658284868, 1.0, 0.7608696891590506, 0.7608696891590506, 0.7826088083264097, 0.8260870466611278, 0.7391305699916916, 0.7478262176586349, 0.7565218653255791, 0.7652175129925223, 0.7739131606594665, 0.7826088083264097, 0.8913044041632049, 1.0, 0.8913044041632049, 0.8695652849958458, 0.7826088083264097, 0.8260870466611278, 0.8130434715004154]","[0.9878, 0.0, -0.1027, 0.0, 0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0]"
"Row(start=datetime.datetime(2016, 4, 4, 20, 0), end=datetime.datetime(2016, 4, 15, 20, 0))","[0.0, 0.4999995742524938, 0.7499993613787407, 0.3571425530374956, 0.3571425530374956, 0.39285680834124515, 0.46428531894874425, 0.32142829773374604, 0.3357139998552452, 0.349999701976746, 0.36428540409824517, 0.37857110621974593, 0.39285680834124515, 0.571428084859993, 0.7499993613787407, 0.571428084859993, 0.5357138295562434, 0.39285680834124515, 0.46428531894874425, 0.44285659546749206, 1.0, 0.5357138295562434]","[-0.1027, 0.0, 0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 5, 20, 0), end=datetime.datetime(2016, 4, 16, 20, 0))","[0.631578154841527, 0.05263151290346058, 0.05263151290346058, 0.10526302580692116, 0.21052605161384233, 0.0, 0.021052605161383298, 0.042105210322768934, 0.06315781548415222, 0.08421042064553787, 0.10526302580692116, 0.3684205903242241, 0.631578154841527, 0.3684205903242241, 0.3157890774207635, 0.10526302580692116, 0.21052605161384233, 0.1789468929049162, 1.0, 0.3157890774207635, 0.3368416825821468, 0.35789428774353244]","[0.0, 0.0, 0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0]"
"Row(start=datetime.datetime(2016, 4, 6, 20, 0), end=datetime.datetime(2016, 4, 17, 20, 0))","[0.05263151290346058, 0.10526302580692116, 0.21052605161384233, 0.0, 0.021052605161383298, 0.042105210322768934, 0.06315781548415222, 0.08421042064553787, 0.10526302580692116, 0.3684205903242241, 0.631578154841527, 0.3684205903242241, 0.3157890774207635, 0.10526302580692116, 0.21052605161384233, 0.1789468929049162, 1.0, 0.3157890774207635, 0.3368416825821468, 0.35789428774353244, 0.37894689290491573, 0.39999949806630136]","[0.1104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 7, 20, 0), end=datetime.datetime(2016, 4, 18, 20, 0))","[0.21052605161384233, 0.0, 0.021052605161383298, 0.042105210322768934, 0.06315781548415222, 0.08421042064553787, 0.10526302580692116, 0.3684205903242241, 0.631578154841527, 0.3684205903242241, 0.3157890774207635, 0.10526302580692116, 0.21052605161384233, 0.1789468929049162, 1.0, 0.3157890774207635, 0.3368416825821468, 0.35789428774353244, 0.37894689290491573, 0.39999949806630136, 0.42105210322768466, 0.05263151290346058]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964]"
"Row(start=datetime.datetime(2016, 4, 8, 20, 0), end=datetime.datetime(2016, 4, 19, 20, 0))","[0.0, 0.02150534877806814, 0.043010697556133896, 0.06451604633420203, 0.08602139511226779, 0.35483825483810166, 0.6236551145639355, 0.35483825483810166, 0.3010748828929349, 0.08602139511226779, 0.19354813900260132, 0.16128985947152183, 1.0, 0.3010748828929349, 0.32258023167100064, 0.3440855804490688, 0.3655909292271345, 0.38709627800520263, 0.4086016267832684, 0.03225802316710102, 0.03225802316710102, 0.6774184865091023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07, 0.0, 0.0, 0.2306, 0.0, 0.0, 0.0, -0.7894, 0.0, 0.0, 0.0, 0.0, 0.7964, 0.0, 0.0]"
