Date,Type,ticker,Price
2016-03-31,Open,RIOT,2.309999942779541
2016-03-31,Closed,RIOT,2.700000047683716
2016-04-01,Open,RIOT,2.5999999046325684
2016-04-01,Closed,RIOT,2.630000114440918
2016-04-04,Open,RIOT,2.630000114440918
2016-04-04,Closed,RIOT,2.630000114440918
2016-04-05,Open,RIOT,2.880000114440918
2016-04-05,Closed,RIOT,3.0199999809265137
2016-04-06,Open,RIOT,3.0899999141693115
2016-04-06,Closed,RIOT,2.9800000190734863
2016-04-07,Open,RIOT,2.9800000190734863
2016-04-07,Closed,RIOT,2.990000009536743
2016-04-08,Open,RIOT,3.009999990463257
2016-04-08,Closed,RIOT,2.9700000286102295
2016-04-11,Open,RIOT,2.990000009536743
2016-04-11,Closed,RIOT,3.0399999618530273
2016-04-12,Open,RIOT,3.0899999141693115
2016-04-12,Closed,RIOT,3.0399999618530273
2016-04-13,Open,RIOT,3.0299999713897705
2016-04-13,Closed,RIOT,2.990000009536743
2016-04-14,Open,RIOT,3.009999990463257
2016-04-14,Closed,RIOT,3.003999948501587
2016-04-15,Open,RIOT,3.1600000858306885
2016-04-15,Closed,RIOT,3.0299999713897705
2016-04-18,Open,RIOT,3.049999952316284
2016-04-18,Closed,RIOT,2.9800000190734863
2016-04-19,Open,RIOT,2.9800000190734863
2016-04-19,Closed,RIOT,3.0999999046325684
2016-04-20,Open,RIOT,3.059999942779541
2016-04-20,Closed,RIOT,3.0799999237060547
2016-04-21,Open,RIOT,3.0399999618530273
2016-04-21,Closed,RIOT,3.0199999809265137
2016-04-22,Open,RIOT,3.0
2016-04-22,Closed,RIOT,3.069999933242798
2016-04-25,Open,RIOT,3.0199999809265137
2016-04-25,Closed,RIOT,2.9100000858306885
2016-04-26,Open,RIOT,2.809999942779541
2016-04-26,Closed,RIOT,3.059999942779541
2016-04-27,Open,RIOT,3.0199999809265137
2016-04-27,Closed,RIOT,3.0199999809265137
2016-04-28,Open,RIOT,3.006999969482422
2016-04-28,Closed,RIOT,3.0
2016-04-29,Open,RIOT,3.180000066757202
2016-04-29,Closed,RIOT,3.0899999141693115
2016-05-02,Open,RIOT,3.0899999141693115
2016-05-02,Closed,RIOT,3.0899999141693115
2016-05-03,Open,RIOT,2.680000066757202
2016-05-03,Closed,RIOT,2.950000047683716
2016-05-04,Open,RIOT,2.940000057220459
2016-05-04,Closed,RIOT,2.890000104904175
2016-05-05,Open,RIOT,2.7699999809265137
2016-05-05,Closed,RIOT,2.880000114440918
2016-05-06,Open,RIOT,2.7219998836517334
2016-05-06,Closed,RIOT,2.809999942779541
2016-05-09,Open,RIOT,2.880000114440918
2016-05-09,Closed,RIOT,2.8299999237060547
2016-05-10,Open,RIOT,2.7200000286102295
2016-05-10,Closed,RIOT,3.1070001125335693
2016-05-11,Open,RIOT,2.690000057220459
2016-05-11,Closed,RIOT,3.119999885559082
2016-05-12,Open,RIOT,3.119999885559082
2016-05-12,Closed,RIOT,3.009999990463257
2016-05-13,Open,RIOT,3.009999990463257
2016-05-13,Closed,RIOT,3.200000047683716
2016-05-16,Open,RIOT,3.1700000762939453
2016-05-16,Closed,RIOT,3.5899999141693115
2016-05-17,Open,RIOT,3.75
2016-05-17,Closed,RIOT,4.429999828338623
2016-05-18,Open,RIOT,6.0
2016-05-18,Closed,RIOT,3.630000114440918
2016-05-19,Open,RIOT,3.4000000953674316
2016-05-19,Closed,RIOT,3.9700000286102295
2016-05-20,Open,RIOT,4.0
2016-05-20,Closed,RIOT,3.6600000858306885
2016-05-23,Open,RIOT,3.690000057220459
2016-05-23,Closed,RIOT,3.5399999618530273
2016-05-24,Open,RIOT,3.5199999809265137
2016-05-24,Closed,RIOT,3.4000000953674316
