Date,Type,ticker,Price
2021-02-10,Open,CHK,43.0
2021-02-10,Closed,CHK,44.9900016784668
2021-02-11,Open,CHK,45.470001220703125
2021-02-11,Closed,CHK,42.79999923706055
2021-02-12,Open,CHK,43.0099983215332
2021-02-12,Closed,CHK,42.5099983215332
2021-02-16,Open,CHK,44.20000076293945
2021-02-16,Closed,CHK,43.54999923706055
2021-02-17,Open,CHK,44.029998779296875
2021-02-17,Closed,CHK,44.2599983215332
2021-02-18,Open,CHK,44.2400016784668
2021-02-18,Closed,CHK,43.0
2021-02-19,Open,CHK,43.65999984741211
2021-02-19,Closed,CHK,44.0
2021-02-22,Open,CHK,44.84000015258789
2021-02-22,Closed,CHK,43.84000015258789
2021-02-23,Open,CHK,43.95000076293945
2021-02-23,Closed,CHK,43.65999984741211
2021-02-24,Open,CHK,43.2400016784668
2021-02-24,Closed,CHK,45.0
2021-02-25,Open,CHK,45.31999969482422
2021-02-25,Closed,CHK,44.75
2021-02-26,Open,CHK,44.560001373291016
2021-02-26,Closed,CHK,44.18000030517578
2021-03-01,Open,CHK,44.45000076293945
2021-03-01,Closed,CHK,44.66999816894531
2021-03-02,Open,CHK,44.66999816894531
2021-03-02,Closed,CHK,45.29999923706055
2021-03-03,Open,CHK,45.5099983215332
2021-03-03,Closed,CHK,47.25
2021-03-04,Open,CHK,47.65999984741211
2021-03-04,Closed,CHK,46.18000030517578
2021-03-05,Open,CHK,47.0
2021-03-05,Closed,CHK,45.029998779296875
2021-03-08,Open,CHK,44.689998626708984
2021-03-08,Closed,CHK,44.369998931884766
2021-03-09,Open,CHK,43.689998626708984
2021-03-09,Closed,CHK,44.279998779296875
2021-03-10,Open,CHK,44.2599983215332
2021-03-10,Closed,CHK,44.75
2021-03-11,Open,CHK,44.75
2021-03-11,Closed,CHK,45.34000015258789
2021-03-12,Open,CHK,46.130001068115234
2021-03-12,Closed,CHK,45.75
2021-03-15,Open,CHK,45.91999816894531
2021-03-15,Closed,CHK,45.75
2021-03-16,Open,CHK,45.779998779296875
2021-03-16,Closed,CHK,44.810001373291016
2021-03-17,Open,CHK,44.869998931884766
2021-03-17,Closed,CHK,45.279998779296875
2021-03-18,Open,CHK,44.91999816894531
2021-03-18,Closed,CHK,43.5
2021-03-19,Open,CHK,43.29999923706055
2021-03-19,Closed,CHK,43.310001373291016
2021-03-22,Open,CHK,43.22999954223633
2021-03-22,Closed,CHK,42.75
2021-03-23,Open,CHK,42.279998779296875
2021-03-23,Closed,CHK,41.70000076293945
2021-03-24,Open,CHK,42.5
2021-03-24,Closed,CHK,41.599998474121094
2021-03-25,Open,CHK,41.150001525878906
2021-03-25,Closed,CHK,42.15999984741211
2021-03-26,Open,CHK,42.27000045776367
2021-03-26,Closed,CHK,43.33000183105469
2021-03-29,Open,CHK,43.400001525878906
2021-03-29,Closed,CHK,42.52000045776367
2021-03-30,Open,CHK,42.27000045776367
2021-03-30,Closed,CHK,43.13999938964844
2021-03-31,Open,CHK,43.029998779296875
2021-03-31,Closed,CHK,43.38999938964844
2021-04-01,Open,CHK,43.09000015258789
2021-04-01,Closed,CHK,44.93000030517578
2021-04-05,Open,CHK,44.81999969482422
2021-04-05,Closed,CHK,44.65999984741211
2021-04-06,Open,CHK,45.0099983215332
2021-04-06,Closed,CHK,45.209999084472656
2021-04-07,Open,CHK,45.11000061035156
2021-04-07,Closed,CHK,45.099998474121094
2021-04-08,Open,CHK,44.9900016784668
2021-04-08,Closed,CHK,45.33000183105469
2021-04-09,Open,CHK,45.20000076293945
2021-04-09,Closed,CHK,45.540000915527344
2021-04-12,Open,CHK,45.66999816894531
2021-04-12,Closed,CHK,45.45000076293945
2021-04-13,Open,CHK,45.349998474121094
2021-04-13,Closed,CHK,45.5099983215332
2021-04-14,Open,CHK,45.66999816894531
2021-04-14,Closed,CHK,46.189998626708984
2021-04-15,Open,CHK,46.15999984741211
2021-04-15,Closed,CHK,46.189998626708984
